brand,formula_name,display_name,species,format,life_stage,dog_size,breed_target,medical_tags,commercial_tags,ingredient_text,ingredients,primary_animal_proteins,carbohydrate_sources,fat_sources,fiber_sources,additives_text,feeding_guide_text,kcal_per_100g,kcal_per_kg,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,sodium_percent,magnesium_percent,potassium_percent,omega3_percent,omega6_percent,dha_percent,epa_percent,taurine_mgkg,l_carnitine_mgkg,glucosamine_mgkg,chondroitin_mgkg,vitamin_a_iukg,vitamin_d3_iukg,vitamin_e_mgkg,iron_mgkg,zinc_mgkg,copper_mgkg,manganese_mgkg,iodine_mgkg,selenium_mgkg,data_quality_status,data_source_url,source_priority,source_notes,formula_key,ean
Schesir,Schesir Fruit Adult Dog με Κοτόπουλο & Μήλο,Schesir Fruit Adult Dog με Κοτόπουλο & Μήλο,dog,wet,adult,all,,allergy,dog;wet;single_protein;gluten_free;maintenance;chicken;rice,,,chicken,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx; source_sheet=ΣΚΥΛΟΣ; source_code=011006; formula_level_dedupe=true; official_url_required=true; ingredient_nutrition_backfill_required=true; Auto-extracted from Gheda-Schesir spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-fruit-adult-dog-chicken-apple-dog-wet-gr-spreadsheet,
Schesir,Schesir Fruit Adult Dog με Κοτόπουλο & Παπάγια,Schesir Fruit Adult Dog με Κοτόπουλο & Παπάγια,dog,wet,adult,all,,allergy,dog;wet;single_protein;gluten_free;maintenance;chicken;rice,,,chicken,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx; source_sheet=ΣΚΥΛΟΣ; source_code=011000; formula_level_dedupe=true; official_url_required=true; ingredient_nutrition_backfill_required=true; Auto-extracted from Gheda-Schesir spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-fruit-adult-dog-chicken-papaya-dog-wet-gr-spreadsheet,
Schesir,Schesir Adult Dog με Κοτόπουλο & Αλόη σε Ζελέ,Schesir Adult Dog με Κοτόπουλο & Αλόη σε Ζελέ,dog,wet,adult,all,,allergy,dog;wet;single_protein;gluten_free;maintenance;chicken;rice,,,chicken,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx; source_sheet=ΣΚΥΛΟΣ; source_code=011002; formula_level_dedupe=true; official_url_required=true; ingredient_nutrition_backfill_required=true; Auto-extracted from Gheda-Schesir spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-adult-dog-chicken-aloe-jelly-dog-wet-gr-spreadsheet,
Schesir,Schesir Adult Dog με Τόνο σε Ζελέ,Schesir Adult Dog με Τόνο σε Ζελέ,dog,wet,adult,all,,allergy,dog;wet;single_protein;gluten_free;maintenance;tuna;rice,,,tuna,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx; source_sheet=ΣΚΥΛΟΣ; source_code=011008; formula_level_dedupe=true; official_url_required=true; ingredient_nutrition_backfill_required=true; Auto-extracted from Gheda-Schesir spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-adult-dog-tuna-jelly-dog-wet-gr-spreadsheet,
Schesir,Schesir Adult Dog με φιλέτο Κοτόπουλο & Μοσχάρι σε Ζελέ,Schesir Adult Dog με φιλέτο Κοτόπουλο & Μοσχάρι σε Ζελέ,dog,wet,adult,all,,,dog;wet;gluten_free;maintenance;chicken;beef;rice,,,chicken;beef,rice,,,,,64,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx; source_sheet=ΣΚΥΛΟΣ; source_code=011003; formula_level_dedupe=true; official_url_required=true; ingredient_nutrition_backfill_required=true; Auto-extracted from Gheda-Schesir spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-adult-dog-fillet-chicken-beef-jelly-dog-wet-gr-spreadsheet,
Schesir,Schesir Adult Dog με φιλέτο Κοτόπουλο & Προσούτο σε Ζελέ,Schesir Adult Dog με φιλέτο Κοτόπουλο & Προσούτο σε Ζελέ,dog,wet,adult,all,,,dog;wet;gluten_free;maintenance;chicken;pork;rice,,,chicken;pork,rice,,,,,64,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx; source_sheet=ΣΚΥΛΟΣ; source_code=011005; formula_level_dedupe=true; official_url_required=true; ingredient_nutrition_backfill_required=true; Auto-extracted from Gheda-Schesir spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-adult-dog-fillet-chicken-ham-jelly-dog-wet-gr-spreadsheet,
Schesir,Schesir Adult Dog με φιλέτο Κοτόπουλο σε Ζελέ,Schesir Adult Dog με φιλέτο Κοτόπουλο σε Ζελέ,dog,wet,adult,all,,allergy,dog;wet;single_protein;gluten_free;maintenance;chicken;rice,,,chicken,rice,,,,,64,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx; source_sheet=ΣΚΥΛΟΣ; source_code=011004; formula_level_dedupe=true; official_url_required=true; ingredient_nutrition_backfill_required=true; Auto-extracted from Gheda-Schesir spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-adult-dog-fillet-chicken-jelly-dog-wet-gr-spreadsheet,
Schesir,Schesir Puppy με Κοτόπουλο & Αλόη σε Ζελέ,Schesir Puppy με Κοτόπουλο & Αλόη σε Ζελέ,dog,wet,puppy,all,,allergy,dog;wet;puppy;single_protein;gluten_free;chicken;rice,,,chicken,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx; source_sheet=ΣΚΥΛΟΣ; source_code=011001; formula_level_dedupe=true; official_url_required=true; ingredient_nutrition_backfill_required=true; Auto-extracted from Gheda-Schesir spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-puppy-chicken-aloe-jelly-dog-wet-gr-spreadsheet,
Schesir,Schesir Puppy με Τόνο & Αλόη σε Ζελέ,Schesir Puppy με Τόνο & Αλόη σε Ζελέ,dog,wet,puppy,all,,allergy,dog;wet;puppy;single_protein;gluten_free;tuna;rice,,,tuna,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx; source_sheet=ΣΚΥΛΟΣ; source_code=011007; formula_level_dedupe=true; official_url_required=true; ingredient_nutrition_backfill_required=true; Auto-extracted from Gheda-Schesir spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-puppy-tuna-aloe-jelly-dog-wet-gr-spreadsheet,
Schesir,Schesir Fruit Adult Dog με Κοτόπουλο & Ανανά,Schesir Fruit Adult Dog με Κοτόπουλο & Ανανά,dog,wet,adult,all,,allergy,dog;wet;single_protein;gluten_free;maintenance;chicken;rice,,,chicken,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx; source_sheet=ΣΚΥΛΟΣ; source_code=011037; formula_level_dedupe=true; official_url_required=true; ingredient_nutrition_backfill_required=true; Auto-extracted from Gheda-Schesir spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-fruit-adult-dog-chicken-dog-wet-gr-spreadsheet,
