brand,formula_name,display_name,species,format,life_stage,dog_size,breed_target,medical_tags,commercial_tags,ingredient_text,ingredients,primary_animal_proteins,carbohydrate_sources,fat_sources,fiber_sources,additives_text,feeding_guide_text,kcal_per_100g,kcal_per_kg,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,sodium_percent,magnesium_percent,potassium_percent,omega3_percent,omega6_percent,dha_percent,epa_percent,taurine_mgkg,l_carnitine_mgkg,glucosamine_mgkg,chondroitin_mgkg,vitamin_a_iukg,vitamin_d3_iukg,vitamin_e_mgkg,iron_mgkg,zinc_mgkg,copper_mgkg,manganese_mgkg,iodine_mgkg,selenium_mgkg,data_quality_status,data_source_url,source_priority,source_notes,formula_key,ean
Viozois,Be Doo Adult Dog με Κοτόπουλο,Viozois Be Doo Adult Dog με Κοτόπουλο,dog,dry,adult,all,,,dog;dry;maintenance;chicken,"Πρωτείνη 22%, Λιπαρά 8%, Τέφρα 8%, Ίνες 8% Σύνθεση: Σιτηρά, Παράγωγα φυτικής προέλευσης, Κρέατα και παράγωγα ζώων, Έλαια και λίπη, Βιταμίνες και ανόργανα στοιχεία","[""Πρωτείνη 22%"",""Λιπαρά 8%"",""Τέφρα 8%"",""Ίνες 8% Σύνθεση: Σιτηρά"",""Παράγωγα φυτικής προέλευσης"",""Κρέατα και παράγωγα ζώων"",""Έλαια και λίπη"",""Βιταμίνες και ανόργανα στοιχεία""]",,,Λιπαρά 8%,Πρωτείνη 22%;Ίνες 8% Σύνθεση: Σιτηρά;Βιταμίνες και ανόργανα στοιχεία,"Βιτ. Α 12.000 IU, Βιτ. D3 1.200 IU, Βιτ. Ε 85mg, Βιτ. Κ 3mg, Βιτ. Β1 10mg, Βιτ. B2 15mg, Βιτ. B6 8mg, Βιτ. B12 0.3mg, Νιασίνη 40mg, Παντοθενικό ασβέστιο 30mg, Βιοτίνη 0.5mg, Φολικό Οξύ 1.5mg, Χολίνη 1.800mg, Νάτριο 3.000mg, Κάλιο 5.500mg, Μαγνήσιο 1.000mg, Σίδηρος 130mg, Χαλκός 30mg, Μαγγάνιο 40mg, Ψευδάργυρος 120mg, Ιώδιο 3mg, Κοβάλτιο 0.4mg, Σελήνιο 0.4mg. Ξηρά τροφή συντήρησης με γεύση κοτόπουλο για όλα τα μεγέθη ενήλικων σκύλων.",,,,22,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx; source_sheet=ΣΚΥΛΟΣ-ΓΑΤΑ; source_code=050102; source_form=; mixed_catalog_rows=true; formula_level_dedupe=true; official_url_required=true; Auto-extracted from ESHOP dog/cat spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,viozois-be-doo-adult-dog-με-κοτοπουλο-dog-dry-gr-spreadsheet,
Gemon,Gemon Light Adult με Κοτόπουλο & Ρύζι,Gemon Light Adult με Κοτόπουλο & Ρύζι,dog,dry,adult,medium,,obesity,dog;dry;sterilised;weight_control;chicken;lamb;fish;rice,"Δημητριακά, κρέας και παράγωγα κρέατος 25% (εκ των οποίων φρέσκο κοτόπουλο κατ’ ελάχ. 5%), έλαια και λίπη, ψάρια και υποπροϊόντα ψαριού, υποπροϊόντα φυτικής προέλευσης (πολτός τεύτλου 2%), ανόργανα συστατικά, εκχύλισμα κάστανου, yucca schidigera, χλωριούχος χολίνη, φρουκτοολιγοσακχαρίτες F.O.S. 1 g/kg, βιταμίνη E.","[""Δημητριακά"",""κρέας και παράγωγα κρέατος 25% (εκ των οποίων φρέσκο κοτόπουλο κατ’ ελάχ. 5%)"",""έλαια και λίπη"",""ψάρια και υποπροϊόντα ψαριού"",""υποπροϊόντα φυτικής προέλευσης (πολτός τεύτλου 2%)"",""ανόργανα συστατικά"",""εκχύλισμα κάστανου"",""yucca schidigera"",""χλωριούχος χολίνη"",""φρουκτοολιγοσακχαρίτες F.O.S. 1 g/kg"",""βιταμίνη E""]",ψάρια και υποπροϊόντα ψαριού,,,χλωριούχος χολίνη;βιταμίνη E,,,,,22,11,3,8,,1.7,1.2,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx; source_sheet=ΣΚΥΛΟΣ-ΓΑΤΑ; source_code=050062; source_form=; mixed_catalog_rows=true; formula_level_dedupe=true; official_url_required=true; Auto-extracted from ESHOP dog/cat spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,gemon-gemon-light-adult-με-κοτοπουλο-ρυζι-dog-dry-gr-spreadsheet,
Movex,Daily Habits Angel Rescue με Μοσχάρι,Movex Daily Habits Angel Rescue με Μοσχάρι,dog,dry,adult,medium,,obesity;allergy,dog;dry;sterilised;weight_control;single_protein;chicken;salmon;beef;rice;potato;pea,"Αφυδατωμένο Μοσχάρι (32%), Ρύζι (24%), Φακές, Βρώμη, Έλαιο Κοτόπουλου, Αφυδατωμένα Λαχανικά (Λιναρόσπορος, Παντζάρι, Αρακάς, Ντομάτες, Καρότα, Πατάτες), Φυσικός Ζεόλιθος (1%), Μαγιά Μπύρας (Πηγή MOS 0.5%), Έλαιο Αντζούγιας & Έλαιο Σολομού, Οργανικό Έξτρα Παρθένο Ελαιόλαδο (0.1%), Πρεβιοτικά Μάναν-Ολιγοσακχαρίτες (MOS 580mg/kg), Πρεβιοτικά Φρουκτό-Ολιγοσακχαρίτες (FOS 250mg/kg), Αφυδατωμένες Υπερτροφές και Βότανα (Γιούκα 150mg/kg, Ρόδι 100mg/kg, Φράουλες 100mg/kg, Τζίντζερ 100mg/kg, Κράνμπερι 100mg/kg), Θειϊκή Γλυκοζαμίνη 80mg/kg, Χονδροιτίνη 40mg/kg.","[""Αφυδατωμένο Μοσχάρι (32%)"",""Ρύζι (24%)"",""Φακές"",""Βρώμη"",""Έλαιο Κοτόπουλου"",""Αφυδατωμένα Λαχανικά (Λιναρόσπορος, Παντζάρι, Αρακάς, Ντομάτες, Καρότα, Πατάτες)"",""Φυσικός Ζεόλιθος (1%)"",""Μαγιά Μπύρας (Πηγή MOS 0.5%)"",""Έλαιο Αντζούγιας & Έλαιο Σολομού"",""Οργανικό Έξτρα Παρθένο Ελαιόλαδο (0.1%)"",""Πρεβιοτικά Μάναν-Ολιγοσακχαρίτες (MOS 580mg/kg)"",""Πρεβιοτικά Φρουκτό-Ολιγοσακχαρίτες (FOS 250mg/kg)"",""Αφυδατωμένες Υπερτροφές και Βότανα (Γιούκα 150mg/kg, Ρόδι 100mg/kg, Φράουλες 100mg/kg, Τζίντζερ 100mg/kg, Κράνμπερι 100mg/kg)"",""Θειϊκή Γλυκοζαμίνη 80mg/kg"",""Χονδροιτίνη 40mg/kg""]",Αφυδατωμένο Μοσχάρι (32%);Έλαιο Αντζούγιας & Έλαιο Σολομού,,Οργανικό Έξτρα Παρθένο Ελαιόλαδο (0.1%),"Αφυδατωμένα Λαχανικά (Λιναρόσπορος, Παντζάρι, Αρακάς, Ντομάτες, Καρότα, Πατάτες);Αφυδατωμένες Υπερτροφές και Βότανα (Γιούκα 150mg/kg, Ρόδι 100mg/kg, Φράουλες 100mg/kg, Τζίντζερ 100mg/kg, Κράνμπερι 100mg/kg);Θειϊκή Γλυκοζαμίνη 80mg/kg;Χονδροιτίνη 40mg/kg","Βιταμίνη A 15.000 IU/kg, Βιταμίνη D3 1.200 IU/kg, Βιταμίνη C 120 mg/kg, Βιταμίνη E 100 mg/kg, Ταυρίνη 500 mg/kg, Χλωριούχος Χολίνη 2.900 mg/kg, Βιοτίνη 100 mg/kg, Β-Γλυκάνη 80 mg/kg, Προβιοτικά 600 mg/kg. DL-Μεθιονίνη 500 mg/kg, L-Λυσίνη 500 mg/kg H μονοπρωτεϊνική High Premium πλήρης ξηρά τροφή, χωρίς πρόσθετα γευστικότητας, χρωστικές και συντηρητικά και είναι κατάλληλη για στειρωμένους ενήλικους σκύλους, ανεξαρτήτως της φυλής και του μεγέθους τους και περιέχει μόνο μία πηγή ζωικής πρωτεΐνης, το μοσχάρι.",,,,25,0.1,4.5,8,8,2,1,0.5,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx; source_sheet=ΣΚΥΛΟΣ-ΓΑΤΑ; source_code=050092; source_form=; mixed_catalog_rows=true; formula_level_dedupe=true; official_url_required=true; Auto-extracted from ESHOP dog/cat spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,movex-daily-habits-angel-rescue-με-μοσχαρι-dog-dry-gr-spreadsheet,
Viozois,Viozois Dog 4 Adult dog με Κοτόπουλο,Viozois Dog 4 Adult dog με Κοτόπουλο,dog,dry,adult,all,,,dog;dry;maintenance;chicken;corn;wheat,"Πρωτείνη - 30%, Λιπαρά - 14%, Τέφρα - 7.5%, Ίνες - 3% Σύνθεση: Υδρολυμένο κρέας πουλερικών, ιχθυάλευρο, καλαμπόκι, σιτάρι, λίπος κοτόπουλου, Φυτικό λίπος, χλωριούχο νάτριο, χολίνη, μείγμα βιταμινών και ιχνοστοιχείων.","[""Πρωτείνη - 30%"",""Λιπαρά - 14%"",""Τέφρα - 7.5%"",""Ίνες - 3% Σύνθεση: Υδρολυμένο κρέας πουλερικών"",""ιχθυάλευρο"",""καλαμπόκι"",""σιτάρι"",""λίπος κοτόπουλου"",""Φυτικό λίπος"",""χλωριούχο νάτριο"",""χολίνη"",""μείγμα βιταμινών και ιχνοστοιχείων""]",Ίνες - 3% Σύνθεση: Υδρολυμένο κρέας πουλερικών,,Λιπαρά - 14%,Πρωτείνη - 30%;Ίνες - 3% Σύνθεση: Υδρολυμένο κρέας πουλερικών;χολίνη;μείγμα βιταμινών και ιχνοστοιχείων,"Βιταμίνη Α 20.000 IU, Βιταμίνη D3 1.800 IU, Βιταμίνη E 100mg, Χαλκός 5mg. Ξηρά τροφή συντήρησης με γεύση κοτόπουλο για όλα τα μεγέθη ενήλικων σκύλων.",,,,30,14,3,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx; source_sheet=ΣΚΥΛΟΣ-ΓΑΤΑ; source_code=018318; source_form=; mixed_catalog_rows=true; formula_level_dedupe=true; official_url_required=true; Auto-extracted from ESHOP dog/cat spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,viozois-viozois-dog-4-adult-dog-με-κοτοπουλο-dog-dry-gr-spreadsheet,
Gemon,Gemon Adult Mini με Σολομό & Ρύζι,Gemon Adult Mini με Σολομό & Ρύζι,dog,dry,adult,small,,,dog;dry;maintenance;salmon;fish;rice,"Δημητριακά (ρύζι 5%), ψάρια και υποπροϊόντα ψαριών (εκ των οποίων φρέσκος σολομός κατ’ ελάχ. 10%), κρέας και παράγωγα κρέατος, έλαια και λίπη (εκ των οποίων έλαιο σολομού κατ’ ελάχ. 3%), υδρολυμένες ζωικές πρωτεΐνες, υποπροϊόντα φυτικής προέλευσης (πολτός τεύτλου 2%), μαγιά μπίρας 1%, ανόργανα συστατικά, φυσικό εκχύλισμα κάστανου, yucca schidigera, φρουκτοολιγοσακχαρίτες F.O.S. 1 g/kg, χλωριούχος χολίνη, βιταμίνη E.","[""Δημητριακά (ρύζι 5%)"",""ψάρια και υποπροϊόντα ψαριών (εκ των οποίων φρέσκος σολομός κατ’ ελάχ. 10%)"",""κρέας και παράγωγα κρέατος"",""έλαια και λίπη (εκ των οποίων έλαιο σολομού κατ’ ελάχ. 3%)"",""υδρολυμένες ζωικές πρωτεΐνες"",""υποπροϊόντα φυτικής προέλευσης (πολτός τεύτλου 2%)"",""μαγιά μπίρας 1%"",""ανόργανα συστατικά"",""φυσικό εκχύλισμα κάστανου"",""yucca schidigera"",""φρουκτοολιγοσακχαρίτες F.O.S. 1 g/kg"",""χλωριούχος χολίνη"",""βιταμίνη E""]",ψάρια και υποπροϊόντα ψαριών (εκ των οποίων φρέσκος σολομός κατ’ ελάχ. 10%);έλαια και λίπη (εκ των οποίων έλαιο σολομού κατ’ ελάχ. 3%),,,χλωριούχος χολίνη;βιταμίνη E,"Βιταμίνη A (ως οξική Ρετινόλη) 19.000 U.I., Βιταμίνη D3 (ως Χοληκαλκιφερόλη) 1.300 U.I., Βιταμίνη E (οξική άλφα τοκοφερόλη) 260 mg, Χλωριούχος χολίνη 2.500 mg, Μονοϋδρικό μαγγανιώδες θειικό 73 mg (Μαγγάνιο 25 mg), Οξείδιο ψευδαργύρου 150 mg (Ψευδάργυρος 110 mg), Πενταϋδρικό χαλκικό θειικό 37 mg (Χαλκός 10 mg), Μονοϋδρικό σιδηρούχο θειικό 260 mg (Σίδηρος 80 mg), Σεληνώδες νάτριο 0,35 mg (Σελήνιο 0,15 mg), Άνυδρο ιωδιούχο ασβέστιο 2,00 mg (Ιώδιο 1,24 mg). Αμινοξέα/Κg: Τεχνικά καθαρή Dl-μεθιονίνη 2000 mg. Η High Premium ξηρά τροφή για ενήλικους σκύλους όλων των φυλών μικρού μεγέθους (δηλαδή, από 2 Kg έως 10 kg).",,,,,,26,7,,1.6,1.2,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx; source_sheet=ΣΚΥΛΟΣ-ΓΑΤΑ; source_code=050065; source_form=; mixed_catalog_rows=true; formula_level_dedupe=true; official_url_required=true; Auto-extracted from ESHOP dog/cat spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,gemon-gemon-adult-mini-με-σολομο-ρυζι-dog-dry-gr-spreadsheet,
Movex,Daily Habits Angel Rescue με Κοτόπουλο,Movex Daily Habits Angel Rescue με Κοτόπουλο,dog,dry,adult,medium,,obesity;allergy,dog;dry;sterilised;weight_control;single_protein;chicken;salmon;rice;potato;pea,"Αφυδατωμένο Κοτόπουλο (32%), Ρύζι (24%), Φακές, Βρώμη, Έλαιο Κοτόπουλου, Αφυδατωμένα Λαχανικά (Λιναρόσπορος, Παντζάρι, Αρακάς, Ντομάτες, Καρότα, Πατάτες), Φυσικός Ζεόλιθος (1%), Μαγιά Μπύρας (Πηγή MOS 0.5%), Έλαιο Αντζούγιας & Έλαιο Σολομού, Οργανικό Έξτρα Παρθένο Ελαιόλαδο (0.1%), Πρεβιοτικά Μάναν-Ολιγοσακχαρίτες (MOS 580mg/kg), Πρεβιοτικά Φρουκτό-Ολιγοσακχαρίτες (FOS 250mg/kg), Αφυδατωμένες Υπερτροφές και Βότανα (Γιούκα 150mg/kg, Ρόδι 100mg/kg, Φράουλες 100mg/kg, Τζίντζερ 100mg/kg, Κράνμπερι 100mg/kg), Θειϊκή Γλυκοζαμίνη 80mg/kg, Χονδροιτίνη 40mg/kg.","[""Αφυδατωμένο Κοτόπουλο (32%)"",""Ρύζι (24%)"",""Φακές"",""Βρώμη"",""Έλαιο Κοτόπουλου"",""Αφυδατωμένα Λαχανικά (Λιναρόσπορος, Παντζάρι, Αρακάς, Ντομάτες, Καρότα, Πατάτες)"",""Φυσικός Ζεόλιθος (1%)"",""Μαγιά Μπύρας (Πηγή MOS 0.5%)"",""Έλαιο Αντζούγιας & Έλαιο Σολομού"",""Οργανικό Έξτρα Παρθένο Ελαιόλαδο (0.1%)"",""Πρεβιοτικά Μάναν-Ολιγοσακχαρίτες (MOS 580mg/kg)"",""Πρεβιοτικά Φρουκτό-Ολιγοσακχαρίτες (FOS 250mg/kg)"",""Αφυδατωμένες Υπερτροφές και Βότανα (Γιούκα 150mg/kg, Ρόδι 100mg/kg, Φράουλες 100mg/kg, Τζίντζερ 100mg/kg, Κράνμπερι 100mg/kg)"",""Θειϊκή Γλυκοζαμίνη 80mg/kg"",""Χονδροιτίνη 40mg/kg""]",Έλαιο Αντζούγιας & Έλαιο Σολομού,,Οργανικό Έξτρα Παρθένο Ελαιόλαδο (0.1%),"Αφυδατωμένα Λαχανικά (Λιναρόσπορος, Παντζάρι, Αρακάς, Ντομάτες, Καρότα, Πατάτες);Αφυδατωμένες Υπερτροφές και Βότανα (Γιούκα 150mg/kg, Ρόδι 100mg/kg, Φράουλες 100mg/kg, Τζίντζερ 100mg/kg, Κράνμπερι 100mg/kg);Θειϊκή Γλυκοζαμίνη 80mg/kg;Χονδροιτίνη 40mg/kg","Βιταμίνη A 15.000 IU/kg, Βιταμίνη D3 1.200 IU/kg, Βιταμίνη C 120 mg/kg, Βιταμίνη E 100 mg/kg, Β-Γλυκάνη 80 mg/kg, Προβιοτικά 600 mg/kg. DL-Μεθιονίνη 500 mg/kg, L-Λυσίνη 500 mg/kg, Ταυρίνη 500 mg/kg, Χλωριούχος Χολίνη 2.900 mg/kg, Βιοτίνη 100 mg/kg. H μονοπρωτεϊνική High Premium πλήρης ξηρά τροφή, χωρίς πρόσθετα γευστικότητας, χρωστικές και συντηρητικά και είναι κατάλληλη για στειρωμένους ενήλικους σκύλους όλων των φυλών και μεγεθών με πλούσια γεύση κοτόπουλο.",,,,25,0.1,4.5,8,8,2,1,0.5,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx; source_sheet=ΣΚΥΛΟΣ-ΓΑΤΑ; source_code=050091; source_form=; mixed_catalog_rows=true; formula_level_dedupe=true; official_url_required=true; Auto-extracted from ESHOP dog/cat spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,movex-daily-habits-angel-rescue-με-κοτοπουλο-dog-dry-gr-spreadsheet,
Nature's Food,Barf Breeder's Raw Boost Simple με Κοτόπουλο,Nature's Food Barf Breeder's Raw Boost Simple με Κοτόπουλο,dog,raw,adult,all,,,dog;raw;grain_free;gluten_free;maintenance;chicken,"Πρωτείνη: 15.6gr, Λιπαρά: 12gr, Τέφρα: 7.6gr, Ίνες: 0gr, Υδατάνθρακες: < 1gr, Υγρασία: 64.1gr Σύνθεση: Κιμάς από κρέας, κόκκαλα και συκωτάκια κοτόπουλου (80%), φρούτα και λαχανικά εποχής (16%), ρίγανη, εκχύλισμα χαμομηλιού. Το B.A.R.F. είναι προϊόν ελληνικής προέλευσης βαθιάς κατάψυξης χωρίς τεχνητά,","[""Πρωτείνη: 15.6gr"",""Λιπαρά: 12gr"",""Τέφρα: 7.6gr"",""Ίνες: 0gr"",""Υδατάνθρακες: < 1gr"",""Υγρασία: 64.1gr Σύνθεση: Κιμάς από κρέας"",""κόκκαλα και συκωτάκια κοτόπουλου (80%)"",""φρούτα και λαχανικά εποχής (16%)"",""ρίγανη"",""εκχύλισμα χαμομηλιού. Το B.A.R.F. είναι προϊόν ελληνικής προέλευσης βαθιάς κατάψυξης χωρίς τεχνητά""]",,,Λιπαρά: 12gr,Πρωτείνη: 15.6gr;Ίνες: 0gr;εκχύλισμα χαμομηλιού. Το B.A.R.F. είναι προϊόν ελληνικής προέλευσης βαθιάς κατάψυξης χωρίς τεχνητά,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx; source_sheet=ΣΚΥΛΟΣ-ΓΑΤΑ; source_code=014759; source_form=; mixed_catalog_rows=true; formula_level_dedupe=true; official_url_required=true; Auto-extracted from ESHOP dog/cat spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,nature-s-food-barf-breeder-s-raw-boost-simple-με-κοτοπουλο-dog-raw-gr-spreadsheet,
Gemon,Gemon Adult Mini με Κοτόπουλο & Ρύζι,Gemon Adult Mini με Κοτόπουλο & Ρύζι,dog,dry,adult,small,,,dog;dry;maintenance;chicken;lamb;fish;rice,"Δημητριακά (εκ των οποίων ρύζι κατ’ ελάχ. 5%), κρέας και παράγωγα κρέατος 25% (εκ των οποίων φρέσκο κοτόπουλο κατ’ ελάχ. 5%), έλαια και λίπη, υδρολυμένες ζωικές πρωτεΐνες, ψάρια και υποπροϊόντα ψαριού, υποπροϊόντα φυτικής προέλευσης (πολτός τεύτλου 2%), μαγιά μπίρας 1%, ανόργανα συστατικά, φυσικό εκχύλισμα κάστανου, yucca schidigera, φρουκτοολιγοσακχαρίτες F.O.S. 1 g/kg, χλωριούχος χολίνη, βιταμίνη E","[""Δημητριακά (εκ των οποίων ρύζι κατ’ ελάχ. 5%)"",""κρέας και παράγωγα κρέατος 25% (εκ των οποίων φρέσκο κοτόπουλο κατ’ ελάχ. 5%)"",""έλαια και λίπη"",""υδρολυμένες ζωικές πρωτεΐνες"",""ψάρια και υποπροϊόντα ψαριού"",""υποπροϊόντα φυτικής προέλευσης (πολτός τεύτλου 2%)"",""μαγιά μπίρας 1%"",""ανόργανα συστατικά"",""φυσικό εκχύλισμα κάστανου"",""yucca schidigera"",""φρουκτοολιγοσακχαρίτες F.O.S. 1 g/kg"",""χλωριούχος χολίνη"",""βιταμίνη E""]",ψάρια και υποπροϊόντα ψαριού,,,χλωριούχος χολίνη;βιταμίνη E,,,,,26,13,2.8,7,,1.8,1.1,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx; source_sheet=ΣΚΥΛΟΣ-ΓΑΤΑ; source_code=050064; source_form=; mixed_catalog_rows=true; formula_level_dedupe=true; official_url_required=true; Auto-extracted from ESHOP dog/cat spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,gemon-gemon-adult-mini-με-κοτοπουλο-ρυζι-dog-dry-gr-spreadsheet,
Viozois,Viozois Dog 1 Adult dog με Κοτόπουλο,Viozois Dog 1 Adult dog με Κοτόπουλο,dog,dry,adult,all,,,dog;dry;maintenance;chicken;corn;wheat,"Πρωτείνη 23%, Λιπαρά 8%, Τέφρα 7.5%, Ίνες 3.5%, Υγρασία 10% Σύνθεση: Υδρολυμένο κρέας πουλερικών, καλαμπόκι, σιτάρι, λίπος κοτόπουλου, φυτικό λίπος, χλωριούχο νάτριο, χολίνη, μείγμα βιταμινών και ιχνοστοιχείων.","[""Πρωτείνη 23%"",""Λιπαρά 8%"",""Τέφρα 7.5%"",""Ίνες 3.5%"",""Υγρασία 10% Σύνθεση: Υδρολυμένο κρέας πουλερικών"",""καλαμπόκι"",""σιτάρι"",""λίπος κοτόπουλου"",""φυτικό λίπος"",""χλωριούχο νάτριο"",""χολίνη"",""μείγμα βιταμινών και ιχνοστοιχείων""]",Υγρασία 10% Σύνθεση: Υδρολυμένο κρέας πουλερικών,,Λιπαρά 8%,Πρωτείνη 23%;Ίνες 3.5%;χολίνη;μείγμα βιταμινών και ιχνοστοιχείων,"Βιταμίνη Α, 6.000 IU, Βιταμίνη D3 300 IU, Βιταμίνη E 40mg, Χαλκός 4mg. Ξηρά τροφή συντήρησης με γεύση κοτόπουλο για όλα τα μεγέθη ενήλικων σκύλων.",,,,23,8,3.5,7.5,10,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx; source_sheet=ΣΚΥΛΟΣ-ΓΑΤΑ; source_code=018326; source_form=; mixed_catalog_rows=true; formula_level_dedupe=true; official_url_required=true; Auto-extracted from ESHOP dog/cat spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=0,viozois-viozois-dog-1-adult-dog-με-κοτοπουλο-dog-dry-gr-spreadsheet,
Ambrosia Pet Food,Ambrosia Senior Light & Sterilized με Γαλοπούλα & Φρέσκο Σολομό,Ambrosia Pet Food Ambrosia Senior Light & Sterilized με Γαλοπούλα & Φρέσκο Σολομό,dog,dry,senior,all,,obesity;allergy,dog;dry;sterilised;senior;weight_control;hypoallergenic;grain_free;chicken;turkey;salmon;potato;pea,"Φρέσκια Γαλοπούλα (30%), Αφυδατωμένο Κρέας Κοτόπουλου (17%), Αρακάς, Πατάτες, Σολομός (6%), Λίπος Κοτόπουλου (6%), Κουκιά, Αφυδατωμένος Πολτός Τεύτλου, Λιναρόσπορος, Μαγιά, Άλευρο από Φύκια (0,3%), Προϊόντα Μαγιάς (MOS 0,2%), Αφυδατωμένος Πολτός Κιχωρίου, Εκχύλισμα Yucca (0,03%), Εκχύλισμα Γαϊδουράγκαθου (Silybum marianum L.) (0,02%), Αφυδατωμένος Μίσχος Ανανά (Ananas sativus L.) (0,02%), Αφυδατωμένο Ρόδι (Punica granatum) (0,02%), Αφυδατωμένος Καρπός Αγριοτριανταφυλλιάς (Rosa Canina L.R., Pendulina L.) (0,002), Αφυδατωμένα Βατόμουρα (Rubus ulmifolius Schott) (0,0006%).","[""Φρέσκια Γαλοπούλα (30%)"",""Αφυδατωμένο Κρέας Κοτόπουλου (17%)"",""Αρακάς"",""Πατάτες"",""Σολομός (6%)"",""Λίπος Κοτόπουλου (6%)"",""Κουκιά"",""Αφυδατωμένος Πολτός Τεύτλου"",""Λιναρόσπορος"",""Μαγιά"",""Άλευρο από Φύκια (0,3%)"",""Προϊόντα Μαγιάς (MOS 0,2%)"",""Αφυδατωμένος Πολτός Κιχωρίου"",""Εκχύλισμα Yucca (0,03%)"",""Εκχύλισμα Γαϊδουράγκαθου (Silybum marianum L.) (0,02%)"",""Αφυδατωμένος Μίσχος Ανανά (Ananas sativus L.) (0,02%)"",""Αφυδατωμένο Ρόδι (Punica granatum) (0,02%)"",""Αφυδατωμένος Καρπός Αγριοτριανταφυλλιάς (Rosa Canina L.R., Pendulina L.) (0,002)"",""Αφυδατωμένα Βατόμουρα (Rubus ulmifolius Schott) (0,0006%)""]",Σολομός (6%),,,Λιναρόσπορος,,,370,3700,27,12.5,,8.5,8,1.25,1,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_spreadsheet; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx; source_sheet=ΣΚΥΛΟΣ-ΓΑΤΑ; source_code=016686; source_form=; mixed_catalog_rows=true; formula_level_dedupe=true; official_url_required=true; Auto-extracted from ESHOP dog/cat spreadsheet; verify against official source or label before import.; duplicate_blocks_skipped=1,ambrosia-pet-food-ambrosia-senior-light-sterilized-με-γαλοπουλα-φρεσκο-σολομο-dog-dry-gr-spreadsheet,
