brand,formula_name,display_name,species,format,life_stage,dog_size,breed_target,medical_tags,commercial_tags,ingredient_text,ingredients,primary_animal_proteins,carbohydrate_sources,fat_sources,fiber_sources,additives_text,feeding_guide_text,kcal_per_100g,kcal_per_kg,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,sodium_percent,magnesium_percent,potassium_percent,omega3_percent,omega6_percent,dha_percent,epa_percent,taurine_mgkg,l_carnitine_mgkg,glucosamine_mgkg,chondroitin_mgkg,vitamin_a_iukg,vitamin_d3_iukg,vitamin_e_mgkg,iron_mgkg,zinc_mgkg,copper_mgkg,manganese_mgkg,iodine_mgkg,selenium_mgkg,data_quality_status,data_source_url,source_priority,source_notes,formula_key,ean,is_recommendable
Prestige,Puppy Mini,Prestige Puppy Mini,dog,dry,puppy,mini,,,dog;dry;puppy;mini,,,,,,,,,398,3980,29,18,2,7,,1.35,0.9,0.3,0.11,,1.2,2.4,,,,,,,17000,1100,,,193,19,61,2.7,0.44,needs_review,file:///C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,official,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,prestige-puppy-mini-dog-dry-eu-pdf,,false
Prestige,Adult Mini,Prestige Adult Mini,dog,dry,adult,mini,,,dog;dry;adult;mini,,,,,,,,,367.4,3674,26,14,3.5,7,,1.2,0.8,0.35,0.13,,1.1,2.2,,,,,,,14000,900,,,200,19,70,2.7,0.48,needs_review,file:///C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,official,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,prestige-adult-mini-dog-dry-eu-pdf,,false
Prestige,Adult 8+ Mini,Prestige Adult 8+ Mini,dog,dry,senior,mini,,,dog;dry;senior;mini,,,,,,,,,351.4,3514,27,12,5,6,,1.1,0.6,0.15,0.13,,1.4,2.0,,,440,,,,16300,1200,,,200,20,70,2.7,0.42,needs_review,file:///C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,official,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,prestige-adult-8-mini-dog-dry-eu-pdf,,false
Prestige,Adult Mini Light Sterilised,Prestige Adult Mini Light Sterilised,dog,dry,adult,mini,,obesity,dog;dry;adult;mini;sterilised;weight_control,,,,,,,,,320,3200,27,10,8,6.5,,1.1,0.8,0.22,0.14,,1.2,1.6,,,,50,,,13600,900,,,200,21,71,2.7,0.49,needs_review,file:///C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,official,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,prestige-adult-mini-light-sterilised-dog-dry-eu-pdf,,false
Prestige,Puppy Medium,Prestige Puppy Medium,dog,dry,puppy,medium,,,dog;dry;puppy;medium,,,,,,,,,403,4030,30,19,2,7,,1.35,0.9,0.3,0.11,,1.2,2.5,,,,,,,17000,1100,,,193,19,61,2.7,0.45,needs_review,file:///C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,official,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,prestige-puppy-medium-dog-dry-eu-pdf,,false
Prestige,Adult Medium,Prestige Adult Medium,dog,dry,adult,medium,,,dog;dry;adult;medium,,,,,,,,,366,3660,25,13,3,7,,1.3,0.9,0.35,0.14,,1.3,2.0,,,,,,,12000,780,,,186,18,66,2.5,0.5,needs_review,file:///C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,official,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,prestige-adult-medium-dog-dry-eu-pdf,,false
Prestige,Adult Medium Maxi Light Sterilised,Prestige Adult Medium Maxi Light Sterilised,dog,dry,adult,large,,obesity,dog;dry;adult;large;sterilised;weight_control,,,,,,,,,321,3210,27,9,7,7,,1.1,0.8,0.35,0.13,,0.8,1.5,,,,50,,,13600,900,,,199,20,69,2.6,0.48,needs_review,file:///C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,official,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,prestige-adult-medium-maxi-light-sterilised-dog-dry-eu-pdf,,false
Prestige,Puppy Maxi,Prestige Puppy Maxi,dog,dry,puppy,large,,,dog;dry;puppy;large,,,,,,,,,389,3890,30,16,2,7,,1.35,0.9,0.3,0.12,,1.2,2.2,,,,,,,17000,1100,,,194,19,61,2.7,0.45,needs_review,file:///C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,official,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,prestige-puppy-maxi-dog-dry-eu-pdf,,false
Prestige,Adult Maxi,Prestige Adult Maxi,dog,dry,adult,large,,,dog;dry;adult;large,,,,,,,,,375.6,3756,26,15,3,7,,1.2,0.8,0.35,0.13,,1.3,2.2,,,,,,,14000,900,,,200,19,69,2.6,0.49,needs_review,file:///C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,official,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,prestige-adult-maxi-dog-dry-eu-pdf,,false
Prestige,Adult 6+ Maxi,Prestige Adult 6+ Maxi,dog,dry,senior,large,,,dog;dry;senior;large,,,,,,,,,367.5,3675,27,14,4,6,,1.1,0.6,0.15,0.12,,1.2,2.2,,,440,,,,16300,1200,,,199,20,68,2.6,0.48,needs_review,file:///C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,official,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,prestige-adult-6-maxi-dog-dry-eu-pdf,,false
