brand,formula_name,display_name,species,format,life_stage,dog_size,breed_target,medical_tags,commercial_tags,ingredient_text,ingredients,primary_animal_proteins,carbohydrate_sources,fat_sources,fiber_sources,additives_text,feeding_guide_text,kcal_per_100g,kcal_per_kg,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,sodium_percent,magnesium_percent,potassium_percent,omega3_percent,omega6_percent,dha_percent,epa_percent,taurine_mgkg,l_carnitine_mgkg,glucosamine_mgkg,chondroitin_mgkg,vitamin_a_iukg,vitamin_d3_iukg,vitamin_e_mgkg,iron_mgkg,zinc_mgkg,copper_mgkg,manganese_mgkg,iodine_mgkg,selenium_mgkg,data_quality_status,data_source_url,source_priority,source_notes,formula_key,ean
Royal Canin,Bulldog Puppy,Royal Canin Bulldog Puppy,dog,dry,puppy,medium,Bulldog,,dog;puppy;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal bulldog puppy; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-bulldog-puppy-dog-dry-gr-photo,
Royal Canin,Cavalier King Charles Puppy,Royal Canin Cavalier King Charles Puppy,dog,dry,puppy,medium,Cavalier King Charles,,dog;puppy;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal cavalier king charles puppy; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-photo,
Royal Canin,Chihuahua Adult,Royal Canin Chihuahua Adult,dog,dry,adult,mini,Chihuahua,,dog;small_breed;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-chihuahua-adult-dog-dry-gr-photo,
Royal Canin,Chihuahua Puppy,Royal Canin Chihuahua Puppy,dog,dry,puppy,mini,Chihuahua,,dog;puppy;small_breed;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua puppy; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-chihuahua-puppy-dog-dry-gr-photo,
Royal Canin,French Bulldog Adult,Royal Canin French Bulldog Adult,dog,dry,adult,medium,French Bulldog,,dog;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-french-bulldog-adult-dog-dry-gr-photo,
Royal Canin,French Bulldog Puppy,Royal Canin French Bulldog Puppy,dog,dry,puppy,medium,French Bulldog,,dog;puppy;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog puppy; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-french-bulldog-puppy-dog-dry-gr-photo,
Royal Canin,Giant Adult,Royal Canin Giant Adult,dog,dry,adult,giant,,,dog;large_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal giant adult; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-giant-adult-dog-dry-gr-photo,
Royal Canin,Maxi Adult,Royal Canin Maxi Adult,dog,dry,adult,large,,,dog;large_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-maxi-adult-dog-dry-gr-photo,
Royal Canin,Maxi Adult Ageing 8+,Royal Canin Maxi Adult Ageing 8+,dog,dry,senior,large,,,dog;senior;large_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult ageing 8+; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-maxi-adult-ageing-8-dog-dry-gr-photo,
Royal Canin,Maxi Adult Light Weight Care,Royal Canin Maxi Adult Light Weight Care,dog,dry,adult,large,,obesity,dog;weight_control;large_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult light weight care; image_count=9; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-maxi-adult-light-weight-care-dog-dry-gr-photo,
