brand,product_name,formula_key,species,format,life_stage,size,ingredients,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,magnesium_percent,sodium_percent,potassium_percent,omega3_percent,omega6_percent,kcal_per_100g,kcal_per_kg,health_tags,ingredient_tags,medical_tags,data_quality_status,source_document,source_notes
Josera,JOSERA SENSICAT POULTRY,josera-josera-sensicat-poultry-cat-dry,cat,dry,adult,all,"κρέας πουλερικών, καλαμπόκι ολικής άλεσης, ρύζι, απολιπωμένο κρέας βοδινού και χοίρου, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, γλουτένη αραβοσίτου, αφυδατωμένο συκώτι πουλερικών, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο",33.0,18.0,2.0,6.7,NULL,1.3,1.0,0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,poultry;rice,sensitive_digestion;urinary,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
Josera,JOSERA CULINESE POULTRY,josera-josera-culinese-poultry-cat-dry,cat,dry,adult,all,"κρέας πουλερικών, ρύζι, καλαμπόκι, απολιπωμένο κρέας βοδινού και χοίρου, λίπος πουλερικών, πούλπα ζαχαρότευτλων, σολομός 6,0%, πρωτεΐνη πουλερικών υδρολυμένη, γλουτένη αραβοσίτου, αφυδατωμένο συκώτι πουλερικών, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο",31.0,13.5,2.5,7.5,NULL,1.2,1.1,0.09,0.4,0.6,NULL,NULL,0.6,6.0,skin_coat,poultry;rice;salmon,urinary,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
Josera,JOSERA LEGER STERILISED POULTRY,josera-josera-leger-sterilised-poultry-cat-dry,cat,dry,adult,all,"κρέας πουλερικών, καλαμπόκι, απολιπωμένο κρέας βοδινού και χοίρου, ρύζι, κυτταρίνη, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, γλουτένη αραβοσίτου, λίπος πουλερικών, αφυδατωμένο συκώτι πουλερικών, χλωριούχο κάλιο, φωσφορικό μονο-νάτριο",35.0,10.0,6.0,7.0,NULL,1.2,1.1,0.09,0.4,0.6,NULL,NULL,0.3,3.0,skin_coat;sterilised;weight_control,poultry;rice;salmon,urinary,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
Josera,JOSERA KITTEN GRAIN FREE POULTRY & SALMON OIL,josera-josera-kitten-grain-free-poultry-and-salmon-oil-cat-dry,cat,dry,kitten,all,"αποξηραμένη πρωτεΐνη πουλερικών, λίπος πουλερικών, αποξηραμένη πατάτα, αλεύρι μπιζελιού, ίνες τεύτλων, αποξηραμένη ταπιόκα, πρωτεΐνη πατάτας, υδρολυμένη πρωτεΐνη ψαριού, υδρολυμένη ζωική πρωτεΐνη. υδρολυμένο συκώτι πουλερικών, λάδι σολομού, μαγιά, μεταλλικά στοιχεία, αλεσμένη ρίζα κιχωρίου (φυσική πηγή ινουλίνης)",36.0,22.0,2.0,7.0,NULL,1.35,1.05,0.55,0.4,NULL,NULL,NULL,NULL,NULL,grain_free;skin_coat,poultry;salmon,hypoallergenic;sensitive_digestion,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
Josera,JOSERA SENIOR RENAL,josera-josera-senior-renal-cat-dry,cat,dry,senior,all,"λίπος πουλερικών, ρύζι, καλαμπόκι ολικής αλέσεως, πούλπα ζαχαρότευτλων, αποξηραμένη πατάτα, πρωτεΐνη πατάτας, υδρολυμένη πρωτεΐνη πουλερικών αφυδατωμένο συκώτι πουλερικών, ανθρακικό ασβέστιο, χλωριούχο κάλιο",27.0,20.0,2.7,5.1,NULL,0.6,0.45,0.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,poultry;rice,renal,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: JOSERA SENIOR RENAL
Josera,JOSERA JOSICAT CLASSIC STERILISED,josera-josera-josicat-classic-sterilised-cat-dry,cat,dry,adult,all,"Ολόκληροι κόκκοι καλαμποκιού, αποξηρά τροφήμένη πρωτεΐνη πουλερικών, ρύζι, ίνες τεύτλων, λίπος, αποξηρά τροφήμένος σολομός, λίπος πουλερικών, υδρολυμένη πρωτεΐνη πουλερικών, υδρολυμένη ζωική πρωτεΐνη,  φυτικές ίνες, αποξηρά τροφήμένο συκώτι πουλερικών, ιχνοστοιχεία, ρίζα κιχωρίου (φυσική πηγή ινουλίνης)",32.0,10.0,4.0,6.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,skin_coat;sterilised,poultry;rice;salmon,sensitive_digestion;urinary,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
Josera,JOSERA DAILYCAT,josera-josera-dailycat-cat-dry,cat,dry,adult,all,"αφυδατωμένο κρέας πουλερικών 39,0%, γλυκοπατάτα, αλεύρι από μπιζέλια, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, αφυδατωμένο συκώτι πουλερικών, βότανα, φρούτα, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο",33.0,16.0,2.2,7.0,NULL,1.25,0.95,0.1,0.45,0.6,NULL,NULL,NULL,NULL,grain_free;skin_coat,poultry,sensitive_digestion,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
Josera,JOSERA DAILYCAT GRAIN FREE POULTRY,josera-josera-dailycat-grain-free-poultry-cat-dry,cat,dry,adult,all,"αφυδατωμένο κρέας πουλερικών 39,0%, γλυκοπατάτα, αλεύρι από μπιζέλια, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, αφυδατωμένο συκώτι πουλερικών, βότανα, φρούτα, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο",33.0,16.0,2.2,7.0,NULL,1.25,0.95,0.1,0.45,0.6,NULL,NULL,NULL,NULL,grain_free;skin_coat,poultry,sensitive_digestion,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
Josera,JOSERA KITTEN ΜΕ ΛΑΔΙ ΣΟΛΟΜΟΥ,josera-josera-kitten-με-λαδι-σολομου-cat-dry,cat,dry,kitten,all,"αποξηραμένη πρωτεΐνη πουλερικών, ρύζι, λίπος πουλερικών, αποξηραμένη πατάτα, ίνες τεύτλων, αποξηραμένη πρωτεΐνη σολομού, υδρολυμένη ζωική πρωτεΐνη. υδρολυμένο συκώτι πουλερικών, λάδι σολομού, μεταλλικά στοιχεία,",35.0,22.0,2.0,7.0,NULL,1.4,1.1,0.6,NULL,NULL,NULL,NULL,NULL,NULL,grain_free;skin_coat,poultry;rice;salmon,hypoallergenic;sensitive_digestion,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
Josera,JOSERA MARINESE HYPOALLERGENIC GRAIN FREE SALMON monoprotein,josera-josera-marinese-hypoallergenic-grain-free-salmon-monoprotein-cat-dry,cat,dry,adult,all,"αφυδατωμένος σολομός, αφυδατωμένες πατάτες, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πατάτας, πρωτεΐνη ψαριού υδρολυμένη, χλωριούχο νάτριο, χλωριούχο κάλιο",30.0,15.0,2.2,6.9,NULL,1.2,1.0,0.65,NULL,NULL,NULL,NULL,NULL,NULL,grain_free;skin_coat,poultry;salmon,hypoallergenic;sensitive_digestion,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
