formula_key,brand,formula_name,species,status,missing_fields,evidence_path,duplicate_blocks_skipped,recommended_action,notes
aatu-aatu-g-f-80-20-adult-turkey-dog-dry-gr-document,AATU,AATU G.F. 80/20 Adult Turkey,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
aatu-aatu-g-f-85-15-puppies-salmon-dog-dry-gr-document,AATU,AATU G.F. 85/15 Puppies Salmon,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-small-doggylicious-duck-dog-dry-gr-document,Barking Heads,Barking Heads Small Doggylicious Duck,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,1,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-fat-dog-slim-chicken-dog-dry-gr-document,Barking Heads,Barking Heads Fat Dog Slim Chicken,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,1,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-chop-lickin-lamb-dog-dry-gr-document,Barking Heads,Barking Heads Chop Lickin Lamb,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-top-light-turkey-dog-dry-gr-document,Barking Heads,Barking Heads Top Light Turkey,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,1,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-pooched-salmon-dog-dry-gr-document,Barking Heads,Barking Heads Pooched Salmon,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-g-f-doggylicious-duck-dog-dry-gr-document,Barking Heads,Barking Heads G.F. Doggylicious Duck,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
aatu-aatu-lamb-dog-wet-gr-document,AATU,AATU Lamb,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
aatu-aatu-wet-chicken-dog-wet-gr-document,AATU,AATU Wet Chicken,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
