formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
briantos-adult-grain-free-duck-potato-dog-dry-eu-retailer,Briantos,Adult Grain-Free Duck & Potato,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/briantos/grain_free/997870?activeVariant=997870.0,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=false
hill-s-prescription-diet-canine-i-d-digestive-care-chicken-dog-dry-eu-retailer,Hill's Prescription Diet,Canine i/d Digestive Care - Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/gastrointestinal/168526?activeVariant=168526.10,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=45.2
hill-s-prescription-diet-z-d-food-sensitivities-dog-dry-eu-retailer,Hill's Prescription Diet,z/d Food Sensitivities,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/allergies_intolerances/466931,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=46.4
hill-s-prescription-diet-canine-metabolic-mobility-weight-joint-care-chicken-dog-dry-eu-retailer,Hill's Prescription Diet,Canine Metabolic+Mobility Weight+Joint Care Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/weight_management/556480?activeVariant=556480.2,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=31.7
hill-s-prescription-diet-gastrointestinal-biome-with-chicken-dog-dry-eu-retailer,Hill's Prescription Diet,Gastrointestinal Biome with Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/gastrointestinal/838815,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=43
wolf-of-wilderness-adult-blue-river-salmon-grain-free-dog-dry-eu-retailer,Wolf of Wilderness,"Adult ""Blue River"" Salmon - Grain-Free",dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/206814/497208?activeVariant=497208.12,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=37
hill-s-prescription-diet-canine-metabolic-weight-management-chicken-dog-dry-eu-retailer,Hill's Prescription Diet,Canine Metabolic Weight Management - Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/weight_management/462898,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=34.8
royal-canin-size-royal-canin-medium-adult-dog-dry-eu-retailer,Royal Canin Size,Royal Canin Medium Adult,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_size/medium/128332,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=43.2
royal-canin-size-royal-canin-mini-adult-dog-dry-eu-retailer,Royal Canin Size,Royal Canin Mini Adult,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_size/mini/128322?activeVariant=128322.14,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=38.5
royal-canin-size-royal-canin-maxi-adult-dog-dry-eu-retailer,Royal Canin Size,Royal Canin Maxi Adult,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_size/maxi/128339?activeVariant=128339.21,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=37.8
royal-canin-veterinary-diet-royal-canin-veterinary-canine-hypoallergenic-dog-dry-eu-retailer,Royal Canin Veterinary Diet,Royal Canin Veterinary Canine Hypoallergenic,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/313823?activeVariant=313823.4,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=42.7
royal-canin-veterinary-diet-royal-canin-veterinary-canine-gastrointestinal-low-fat-dog-dry-eu-retailer,Royal Canin Veterinary Diet,Royal Canin Veterinary Canine Gastrointestinal Low Fat,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/567604,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=53.1
