formula_key,brand,formula_name,species,status,missing_fields,evidence_path,duplicate_blocks_skipped,recommended_action,notes
viozois-be-doo-adult-dog-chicken-dog-dry-gr-spreadsheet,Viozois,Be Doo Adult Dog με Κοτόπουλο,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Ξηρές σκύλου - Eshop.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Dry dog e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
gemon-gemon-light-adult-chicken-rice-dog-dry-gr-spreadsheet,Gemon,Gemon Light Adult με Κοτόπουλο & Ρύζι,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Ξηρές σκύλου - Eshop.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Dry dog e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
movex-daily-habits-angel-rescue-beef-dog-dry-gr-spreadsheet,Movex,Daily Habits Angel Rescue με Μοσχάρι,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|protein_percent|fat_percent|fiber_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Ξηρές σκύλου - Eshop.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Dry dog e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
viozois-viozois-dog-4-adult-dog-chicken-dog-dry-gr-spreadsheet,Viozois,Viozois Dog 4 Adult dog με Κοτόπουλο,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Ξηρές σκύλου - Eshop.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Dry dog e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
gemon-gemon-adult-mini-salmon-rice-dog-dry-gr-spreadsheet,Gemon,Gemon Adult Mini με Σολομό & Ρύζι,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|protein_percent|fat_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Ξηρές σκύλου - Eshop.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Dry dog e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
movex-daily-habits-angel-rescue-chicken-dog-dry-gr-spreadsheet,Movex,Daily Habits Angel Rescue με Κοτόπουλο,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|fat_percent|fiber_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Ξηρές σκύλου - Eshop.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Dry dog e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
gemon-gemon-adult-mini-chicken-rice-dog-dry-gr-spreadsheet,Gemon,Gemon Adult Mini με Κοτόπουλο & Ρύζι,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Ξηρές σκύλου - Eshop.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Dry dog e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
viozois-viozois-dog-1-adult-dog-chicken-dog-dry-gr-spreadsheet,Viozois,Viozois Dog 1 Adult dog με Κοτόπουλο,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Ξηρές σκύλου - Eshop.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Dry dog e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
ambrosia-pet-food-ambrosia-senior-light-sterilized-turkey-salmon-dog-dry-gr-spreadsheet,Ambrosia Pet Food,Ambrosia Senior Light & Sterilized με Γαλοπούλα & Φρέσκο Σολομό,dog,needs_review,data_source_url_or_official_evidence|protein_percent|fat_percent|fiber_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Ξηρές σκύλου - Eshop.xlsx,1,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Dry dog e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
royal-canin-royal-canin-adult-maxi-dog-dry-gr-spreadsheet,Royal Canin,Royal Canin Adult Maxi,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Ξηρές σκύλου - Eshop.xlsx,3,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Dry dog e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
viozois-viozois-exclusive-line-adult-premium-chicken-dog-dry-gr-spreadsheet,Viozois,Viozois Exclusive Line Adult Premium με Κοτόπουλο,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|protein_percent|fiber_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Ξηρές σκύλου - Eshop.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Dry dog e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
