action,dataset_file,formula_key,brand,formula_name,old_dha_percent,old_epa_percent,new_epa_dha_percent,evidence,notes
current_combined,data/imports/category_product_sources_extract_v2.csv,royal-canin-breed-royal-canin-labrador-retriever-adult-dog-dry-eu-retailer,Royal Canin Breed,Royal Canin Labrador Retriever Adult,,,0.4,n: 30.0% - Crude fibre: 3.4% - Fat content: 13.0% - Crude ash: 6.7% - EPA+DHA: 0.4% - Metabolisable energy: 3640 kcal/kg *L.I.P.: protein selected for it,Already stored as combined EPA+DHA.
current_combined,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,royal-canin-royal-canin-adult-maxi-dog-dry-gr-spreadsheet,Royal Canin,Royal Canin Adult Maxi,,,0.4,"Ωμέγα-3 λιπαρά οξέα: 7.8g μεταξύ των οποίων και EPA/DHA: 4 g. Η Super Premium ξηρά τροφή συντήρησης, με πλούσια γεύση πουλερικών π",Already stored as combined EPA+DHA.
current_combined,data/imports/gatoskilo_local_html_batch_v2.csv,pro-nutrition-flatazor-pro-nutrition-prestige-flatazor-cat-sterilized-chicken-cat-dry-gr-gatoskilo,Pro-Nutrition (Flatazor),Pro-Nutrition Prestige (Flatazor) Cat Sterilized Chicken,,,0.006,"Αλφα-λινολενικό οξύ 6,9 g / kg. EPA + DHA 0,06 g / kg. Λυσίνη 17,6 g / kg. Μεθειονίνη 6,9 g / kg. L-καρνιτίνη 50 mg / kg. Τ",Already stored as combined EPA+DHA.
current_combined,data/imports/gatoskilo_local_html_batch_v2.csv,pro-nutrition-flatazor-pro-nutrition-prestige-flatazor-maxi-adult-δωρο-dog-dry-gr-gatoskilo,Pro-Nutrition (Flatazor),Pro-Nutrition Prestige (Flatazor) Maxi Adult + ΔΩΡΟ,,,0.02,"Αλφα-λινολενικό οξύ 12,1 g / kg. EPA + DHA 0,2 g / kg. Λυσίνη 15,3 g / kg. Μεθειονίνη 4,2 g / kg. Χαλκός 20 mg / kg. Ψευδάρ",Already stored as combined EPA+DHA.
current_combined,data/imports/gatoskilo_local_html_batch_v2.csv,pro-nutrition-flatazor-pro-nutrition-pure-life-flatazor-cat-sterilized-sardine-cat-dry-gr-gatoskilo,Pro-Nutrition (Flatazor),Pro-Nutrition Pure Life (Flatazor) Cat Sterilized Sardine,,,0.21,"EPA + DHA 2,1 g / kg. Λυσίνη 19,4 g / kg. Μεθειονίνη 11,5 g / kg. L-καρνιτίνη 50 mg / kg.",Already stored as combined EPA+DHA.
current_combined,data/imports/gatoskilo_local_html_batch_v2.csv,pro-nutrition-flatazor-pro-nutrition-pure-life-flatazor-dog-adult-sensitive-with-lamb-dog-dry-gr-gatoskilo,Pro-Nutrition (Flatazor),Pro-Nutrition Pure Life (Flatazor) Dog Adult Sensitive with Lamb,,,0.37,Αλφα-λινολενικό οξύ 18 g / kg. EPA + DHA 3.7 g / kg. Λυσίνη 14.8 g / kg. Μεθειονίνη 4.7 g / kg. Χαλκός 19 mg / kg. Ψευδάρ,Already stored as combined EPA+DHA.
current_combined,data/imports/gatoskilo_local_html_batch_v2.csv,royal-canin-ageing-11-cat-dry-gr-gatoskilo,Royal Canin,Ageing 11+,,,0.6,Previously normalized combined EPA+DHA value.,Already stored as combined EPA+DHA.
current_combined,data/imports/gatoskilo_local_html_batch_v2.csv,royal-canin-ageing-15-cat-dry-gr-gatoskilo,Royal Canin,Ageing 15+,,,0.7,Previously normalized combined EPA+DHA value.,Already stored as combined EPA+DHA.
current_combined,data/imports/gatoskilo_local_html_batch_v2.csv,royal-canin-ageing-sterilised-11-cat-dry-gr-gatoskilo,Royal Canin,Ageing Sterilised 11+,,,0.6,Previously normalized combined EPA+DHA value.,Already stored as combined EPA+DHA.
current_combined,data/imports/gatoskilo_local_html_batch_v2.csv,royal-canin-vet-diet-cat-gastrointestinal-moderate-calorie-cat-dry-gr-gatoskilo,Royal Canin,Vet Diet Cat GastroIntestinal Moderate Calorie,,,0.3,Previously normalized combined EPA+DHA value.,Already stored as combined EPA+DHA.
