action,dataset_file,formula_key,brand,formula_name,field,old_value,new_value,evidence,notes
ambiguous,data/imports/category_product_sources_extract_v2.csv,royal-canin-breed-royal-canin-labrador-retriever-adult-dog-dry-eu-retailer,Royal Canin Breed,Royal Canin Labrador Retriever Adult,epa_percent|dha_percent,,,n: 30.0% - Crude fibre: 3.4% - Fat content: 13.0% - Crude ash: 6.7% - EPA+DHA: 0.4% - Metabolisable energy: 3640 kcal/kg *L.I.P.: protein selected for it,"Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,royal-canin-royal-canin-adult-maxi-dog-dry-gr-spreadsheet,Royal Canin,Royal Canin Adult Maxi,epa_percent|dha_percent,,,"Ωμέγα-3 λιπαρά οξέα: 7.8g μεταξύ των οποίων και EPA/DHA: 4 g. Η Super Premium ξηρά τροφή συντήρησης, με πλούσια γεύση πουλερικών π","Combined EPA/DHA mention found, but separate values were not clear enough to split."
backfilled,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,acana-acana-adult-grassfed-lamb-dog-dry-gr-spreadsheet,Acana,Acana Adult GrassFed Lamb,dha_percent,,0.15,"ρασία 12%, Ασβέστιο 1.5 %, Φώσφορος 1.1%, Ωμέγα-6 1.8%, Ωμέγα-3 0.8%, DHA / EPA 0.15% / 0.1%, Γλουκοζαμίνη 600 mg/kg, Θειική χονδροϊτίνη 800 mg/kg. Η υποαλλεργική",Exact EPA/DHA value extracted from row text.
backfilled,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,acana-acana-adult-grassfed-lamb-dog-dry-gr-spreadsheet,Acana,Acana Adult GrassFed Lamb,epa_percent,,0.1,"ρασία 12%, Ασβέστιο 1.5 %, Φώσφορος 1.1%, Ωμέγα-6 1.8%, Ωμέγα-3 0.8%, DHA / EPA 0.15% / 0.1%, Γλουκοζαμίνη 600 mg/kg, Θειική χονδροϊτίνη 800 mg/kg. Η υποαλλεργική",Exact EPA/DHA value extracted from row text.
ambiguous,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,acana-acana-adult-grassfed-lamb-dog-dry-gr-spreadsheet,Acana,Acana Adult GrassFed Lamb,epa_percent|dha_percent,,,"ρασία 12%, Ασβέστιο 1.5 %, Φώσφορος 1.1%, Ωμέγα-6 1.8%, Ωμέγα-3 0.8%, DHA / EPA 0.15% / 0.1%, Γλουκοζαμίνη 600 mg/kg, Θειική χονδροϊτίνη 800 mg/kg. Η υποαλ","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,acana-acana-adult-grassfed-lamb-dog-dry-gr-spreadsheet,Acana,Acana Adult GrassFed Lamb,epa_percent|dha_percent,,,"12%"",""Ασβέστιο 1.5 %"",""Φώσφορος 1.1%"",""Ωμέγα-6 1.8%"",""Ωμέγα-3 0.8%"",""DHA / EPA 0.15% / 0.1%"",""Γλουκοζαμίνη 600 mg/kg"",""Θειική χονδροϊτίνη 800 mg/kg. Η υπο","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,royal-canin-royal-canin-adult-yorkshire-terrier-dog-dry-gr-spreadsheet,Royal Canin,Royal Canin Adult Yorkshire Terrier,epa_percent|dha_percent,,,"6 λιπαρά οξέα: 33,7 g, Ομέγα-3 λιπαρά οξέα: 7,5 g συμπεριλαμβανομένου EPA / DHA: g - τριφωσφορικό νάτριο: 3,5 g. Η Super Premium ξηρά τροφή συντήρησης, με πλούσια γεύση πουλερικών π","Combined EPA/DHA mention found, but separate values were not clear enough to split."
backfilled,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,Orijen,Orijen Adult 6 Fish,dha_percent,,0.7,"5%, Φώσφορο 1.1%, Ωμέγα-6 λιπαρά οξέα 2.2%, Ωμέγα-3 λιπαρά οξέα 2.2%, DHA / EPA 0.7 % / 0.5 % Γλουκοζαμίνη 1250 mg/kg Χονδροϊτίνη 1000 mg/k Υδατάνθρακες (NFE) 18%",Exact EPA/DHA value extracted from row text.
backfilled,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,Orijen,Orijen Adult 6 Fish,epa_percent,,0.5,"5%, Φώσφορο 1.1%, Ωμέγα-6 λιπαρά οξέα 2.2%, Ωμέγα-3 λιπαρά οξέα 2.2%, DHA / EPA 0.7 % / 0.5 % Γλουκοζαμίνη 1250 mg/kg Χονδροϊτίνη 1000 mg/k Υδατάνθρακες (NFE) 18%",Exact EPA/DHA value extracted from row text.
ambiguous,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,Orijen,Orijen Adult 6 Fish,epa_percent|dha_percent,,,"5%, Φώσφορο 1.1%, Ωμέγα-6 λιπαρά οξέα 2.2%, Ωμέγα-3 λιπαρά οξέα 2.2%, DHA / EPA 0.7 % / 0.5 % Γλουκοζαμίνη 1250 mg/kg Χονδροϊτίνη 1000 mg/k Υδατάνθρακες (N","Combined EPA/DHA mention found, but separate values were not clear enough to split."
