intake_id,received_at,brand,formula_name_guess,species,market,locale,source_type,source_priority,evidence_kind,evidence_path_or_url,storage_bucket,storage_path,has_front_pack,has_barcode,has_ingredients,has_analysis,has_calories,has_feeding_guide,has_pack_weight,extraction_status,assigned_to,linked_formula_key,review_priority,notes
doc-αναλυση-ξηρας-γατας,2026-05-30,,ΑΝΑΛΥΣΗ ΞΗΡΑΣ ΓΑΤΑΣ,cat,GR,el-GR,manufacturer_response,unknown,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\ΑΝΑΛΥΣΗ ΞΗΡΑΣ ΓΑΤΑΣ.docx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,low,Auto-registered local evidence document. Review source quality before extraction.
doc-ξηρες-σκυλου-eshop,2026-05-30,,Ξηρές σκύλου - Eshop,dog,GR,el-GR,authorized_retailer,retailer,spreadsheet,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Ξηρές σκύλου - Eshop.xlsx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,low,Auto-registered local evidence document. Review source quality before extraction.
doc-παρουσιαση-prochoice-19-03-2020,2026-05-30,Prochoice,Παρουσιάση Prochoice 19.03.2020,,GR,el-GR,official_pdf,unknown,pdf,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Παρουσιάση Prochoice 19.03.2020.pdf,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,medium,Auto-registered local evidence document. Review source quality before extraction.
doc-περιγραφες-vet-eshop,2026-05-30,,Περιγραφές Vet Eshop,,GR,el-GR,manufacturer_response,unknown,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Περιγραφές Vet Eshop.docx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,low,Auto-registered local evidence document. Review source quality before extraction.
doc-προιοντα-για-eshop-ανα-κατηγορια-παρετο-για-λουκα,2026-05-30,,ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ,,GR,el-GR,authorized_retailer,retailer,spreadsheet,C:\Users\NIOstb\Desktop\photo_foods_nutritail\ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,low,Auto-registered local evidence document. Review source quality before extraction.
doc-aatu-barking-heads,2026-05-30,AATU,aatu barking Heads,,GR,el-GR,manufacturer_response,unknown,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\aatu barking Heads.docx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,medium,Auto-registered local evidence document. Review source quality before extraction.
doc-acana,2026-05-30,ACANA,ACANA,,GR,el-GR,manufacturer_response,unknown,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\ACANA.docx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,medium,Auto-registered local evidence document. Review source quality before extraction.
doc-ambrosia-text,2026-05-30,Ambrosia,ambrosia text,,GR,el-GR,manufacturer_response,unknown,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\ambrosia text.odt,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,medium,Auto-registered local evidence document. Review source quality before extraction.
doc-belcando,2026-05-30,Belcando,BELCANDO,,GR,el-GR,manufacturer_response,unknown,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\BELCANDO.docx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,medium,Auto-registered local evidence document. Review source quality before extraction.
doc-eshop-τροφες-σκυλου-γατας,2026-05-30,,ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ,cat,GR,el-GR,authorized_retailer,retailer,spreadsheet,C:\Users\NIOstb\Desktop\photo_foods_nutritail\ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,low,Auto-registered local evidence document. Review source quality before extraction.
