canonical_identity_key,row_count,candidate_count,hold_count,risk_level,risk_reason,recommended_action,best_formula_key,best_display_name,source_priorities,kcal_range,protein_range,fat_range,fiber_range,ash_range,formula_keys
schesir|adult medium chicken|dog|dry,5,2,3,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,schesir-dry-medium-maintenance-chicken-dog-dry-gr-document,Schesir Dry Medium Maintenance Chicken,retailer|unknown,,,,,,schesir-dry-medium-maintenance-chicken-dog-dry-gr-document|schesir-schesir-adult-medium-με-κοτοπουλο-dog-dry-gr-ods|schesir-schesir-adult-medium-chicken-dog-dry-gr-spreadsheet
schesir|adult small chicken rice|dog|dry,5,2,3,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,schesir-dry-small-maintenance-dog-dry-gr-document,Schesir Dry Small Maintenance με κοτόπουλο,retailer|unknown,,,,,,schesir-dry-small-maintenance-dog-dry-gr-document|schesir-schesir-adult-small-με-κοτοπουλο-ρυζι-dog-dry-gr-ods|schesir-schesir-adult-small-chicken-rice-dog-dry-gr-spreadsheet
acana|prairie poultry|dog|dry,2,2,0,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,acana-prairie-poultry-dog-dry-gr-gatoskilo,Acana Prairie Poultry 9.7kg,retailer,,,,,,acana-prairie-poultry-dog-dry-gr-gatoskilo|acana-prairie-poultry-dog-dry-gr-retailer
briantos|adult grain free duck and potato|dog|dry,2,2,0,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,briantos-adult-grain-free-duck-potato-dog-dry-eu-retailer,Briantos Adult Grain-Free Duck & Potato,retailer,325.5,23,11.5,3,6.7,briantos-adult-grain-free-duck-potato-dog-dry-eu-retailer
josera|active nature|dog|dry,2,2,0,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,josera-active-nature-dog-dry-eu-official,Josera Active Nature,official,,,,,,josera-active-nature-dog-dry-eu-official
royal canin|yorkshire terrier adult|dog|dry,2,2,0,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-yorkshire-terrier-adult-dog-dry-gr-official,Royal Canin Yorkshire Terrier Adult,official,,,,,,royal-canin-yorkshire-terrier-adult-dog-dry-gr-official
royal canin|maxi ageing 8 plus|dog|dry,4,1,3,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-maxi-ageing-8-dog-dry-gr-gatoskilo,Royal Canin Maxi Ageing 8+ 15kg,retailer|official|unknown,,,,,,royal-canin-maxi-ageing-8-dog-dry-gr-gatoskilo|royal-canin-maxi-ageing-8-dog-dry-gr-official|royal-canin-royal-canin-maxi-ageing-8-dog-dry-gr-spreadsheet
schesir|sterilized light chicken|cat|dry,4,1,3,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,schesir-cat-sterilized-light-cat-dry-gr-document,Schesir Cat Sterilized & Light με κοτόπουλο,official|unknown,,,,,,schesir-cat-sterilized-light-cat-dry-gr-document|schesir-schesir-sterilised-cat-με-κοτοπουλο-cat-dry-gr-ods|schesir-schesir-sterilised-cat-chicken-cat-dry-gr-spreadsheet
schesir|kitten chicken|cat|dry,4,1,3,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,schesir-dry-kitten-cat-dry-gr-document,Schesir Dry Kitten με κοτόπουλο,official|unknown,,,,,,schesir-dry-kitten-cat-dry-gr-document|schesir-schesir-kitten-με-κοτοπουλο-cat-dry-gr-ods|schesir-schesir-kitten-chicken-cat-dry-gr-spreadsheet
belcando|junior lamb and rice|dog|dry,3,1,2,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,belcando-junior-lamb-and-rice-dog-dry-gr-gatoskilo,Belcando Junior Lamb & Rice 12.5kg,retailer|unknown,355.7,26,15,2.8,7,belcando-junior-lamb-and-rice-dog-dry-gr-gatoskilo|belcando-belcando-junior-lamb-rice-dog-dry-gr-spreadsheet|belcando-belcando-junior-με-αρνι-ρυζι-dog-dry-gr-spreadsheet
