priority,gap_score,brand,display_name,species,format,life_stage,data_quality_status,source_priority,formula_key,missing_blockers,estimated_fields_to_replace,missing_helpful_fields,health_context,recommended_evidence,next_action,data_source_url
high,164,Fish4Dogs,Fish4dogs Finest Salmon Senior Small 6kg,dog,dry,senior,needs_review,retailer,fish4dogs-finest-salmon-senior-small-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|sodium_percent|magnesium_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,senior,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/ksira-trofi-skyloy/20683-fish4dogs-finest-salmon-senior-small-6kg.html
high,156,Reflex,Reflex Plus Kitten Chicken 1.5kg,cat,dry,kitten,needs_review,retailer,reflex-plus-kitten-chicken-cat-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,kitten,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/ksira-trofi-gatas/8821-reflex-plus-kitten-chicken-15kg.html
high,156,Reflex,Reflex Plus Medium / Large Junior Lamb 12kg,dog,dry,puppy,needs_review,retailer,reflex-plus-medium-large-junior-lamb-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,puppy,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/ksira-trofi-skyloy/30055-reflex-plus-medium-large-junior-lamb-12kg.html
high,156,Tonus Dog Chow,Tonus Dog Chow Puppy Κοτόπουλο 2.5kg,dog,dry,puppy,needs_review,retailer,tonus-dog-chow-puppy-κοτοπουλο-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,puppy,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/ksira-trofi-skyloy/10428-tonus-dog-chow-puppy-kotopoulo-25kg.html
high,156,Trendline,Trendline Kitten Chicken 15kg,cat,dry,kitten,needs_review,retailer,trendline-kitten-chicken-cat-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,kitten,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/ksira-trofi-gatas/19500-trendline-kitten-chicken-15kg.html
high,146,Josera,Josera LOOPIES WITH BEEF,dog,dry,senior,needs_review,official,josera-loopies-with-beef-dog-dry-eu-official,calcium_percent|phosphorus_percent,,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,senior,official_pdf_or_label_photo_with_analytical_constituents,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://josera.com/en/product/loopies-beef
high,146,Josera,Josera LOOPIES WITH LAMB,dog,dry,senior,needs_review,official,josera-loopies-with-lamb-dog-dry-eu-official,calcium_percent|phosphorus_percent,,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,senior,official_pdf_or_label_photo_with_analytical_constituents,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://josera.com/en/product/loopies-lamb
high,146,Josera,Josera LOOPIES WITH POULTRY,dog,dry,senior,needs_review,official,josera-loopies-with-poultry-dog-dry-eu-official,calcium_percent|phosphorus_percent,,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,senior,official_pdf_or_label_photo_with_analytical_constituents,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://josera.com/en/product/loopies-poultry
high,144,Reflex,Reflex Plus Breed Pomeranian Puppy Hypoallergenic 1.5kg,dog,dry,puppy,needs_review,retailer,reflex-plus-breed-pomeranian-puppy-hypoallergenic-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g,sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,puppy,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/ksira-trofi-skyloy/28834-reflex-plus-breed-pomeranian-puppy-hypoallergenic-15kg.html
high,144,Reflex,Reflex Plus Breed Poodle Puppy Hypoallergenic 1.5kg,dog,dry,puppy,needs_review,retailer,reflex-plus-breed-poodle-puppy-hypoallergenic-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g,sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,puppy,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/ksira-trofi-skyloy/28913-reflex-plus-breed-poodle-puppy-hypoallergenic-15kg.html
high,140,Ambrosia,"Ambrosia Mediterranean Diet Grain Free Puppy Fresh Sardine & Herring 1,5kg",dog,dry,puppy,needs_review,retailer,ambrosia-mediterranean-diet-grain-free-puppy-fresh-sardine-herring-dog-dry-gr-retailer,calcium_percent|phosphorus_percent,,ash_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,puppy,official_pdf_or_label_photo_with_analytical_constituents,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.petsamolis.gr/skylos/trofes-skylon/xira-trofi-skylou/super-premium-skylon/ambrosiamediterraneandietgrainfreepuppyfreshsardineandherring2062912
high,140,Royal Canin,Royal Canin Vet Diet Dog Urinary UC Low P 2kg,dog,dry,,needs_review,retailer,royal-canin-vet-diet-dog-urinary-uc-low-p-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,urinary,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/22296-royal-canin-vet-diet-dog-urinary-uc-low-p-2kg.html
high,132,Brekkies,Brekkies Cat Adult Special Care Urinary 20kg,cat,dry,adult,needs_review,retailer,brekkies-cat-adult-special-care-urinary-cat-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|sodium_percent|epa_percent|dha_percent|epa_dha_percent,urinary,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/ksira-trofi-gatas/13432-brekkies-cat-adult-special-care-urinary-20kg.html
high,122,Dr. Clauder,Dr Clauder's High Premium Cat Sterilised/Senior/Light 10kg,cat,dry,senior,needs_review,retailer,dr-clauder-dr-clauder-s-high-premium-cat-sterilised-senior-light-cat-dry-gr-gatoskilo,calcium_percent,kcal_per_100g|moisture_percent,moisture_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,weight_control|senior,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/ksira-trofi-gatas/18108-dr-clauder-s-high-premium-cat-sterilised-senior-light-10kg.html
