canonical_identity_key,row_count,candidate_count,hold_count,best_dataset_file,best_formula_key,best_display_name,best_decision,best_score,best_missing_blockers,recommended_action,alternative_formula_keys
schesir|adult medium chicken|dog|dry,5,2,3,data/imports/retailer_source_backfill_v2.csv,schesir-dry-medium-maintenance-chicken-dog-dry-gr-document,Schesir Dry Medium Maintenance Chicken,candidate,98.0,,Use best row for preview; keep alternatives as evidence/backfill references.,schesir-schesir-adult-medium-με-κοτοπουλο-dog-dry-gr-ods|schesir-dry-medium-maintenance-chicken-dog-dry-gr-document|schesir-schesir-adult-medium-με-κοτοπουλο-dog-dry-gr-ods|schesir-schesir-adult-medium-chicken-dog-dry-gr-spreadsheet
schesir|adult small chicken rice|dog|dry,5,2,3,data/imports/retailer_source_backfill_v2.csv,schesir-dry-small-maintenance-dog-dry-gr-document,Schesir Dry Small Maintenance με κοτόπουλο,candidate,98.0,,Use best row for preview; keep alternatives as evidence/backfill references.,schesir-schesir-adult-small-με-κοτοπουλο-ρυζι-dog-dry-gr-ods|schesir-dry-small-maintenance-dog-dry-gr-document|schesir-schesir-adult-small-με-κοτοπουλο-ρυζι-dog-dry-gr-ods|schesir-schesir-adult-small-chicken-rice-dog-dry-gr-spreadsheet
schesir|sterilized light chicken|cat|dry,4,1,3,data/imports/retailer_source_backfill_v2.csv,schesir-cat-sterilized-light-cat-dry-gr-document,Schesir Cat Sterilized & Light με κοτόπουλο,candidate,106.0,,Use best row for preview; keep alternatives as evidence/backfill references.,schesir-cat-sterilized-light-cat-dry-gr-document|schesir-schesir-sterilised-cat-με-κοτοπουλο-cat-dry-gr-ods|schesir-schesir-sterilised-cat-chicken-cat-dry-gr-spreadsheet
schesir|kitten chicken|cat|dry,4,1,3,data/imports/retailer_source_backfill_v2.csv,schesir-dry-kitten-cat-dry-gr-document,Schesir Dry Kitten με κοτόπουλο,candidate,106.0,,Use best row for preview; keep alternatives as evidence/backfill references.,schesir-dry-kitten-cat-dry-gr-document|schesir-schesir-kitten-με-κοτοπουλο-cat-dry-gr-ods|schesir-schesir-kitten-chicken-cat-dry-gr-spreadsheet
royal canin|maxi ageing 8 plus|dog|dry,4,1,3,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-ageing-8-dog-dry-gr-gatoskilo,Royal Canin Maxi Ageing 8+ 15kg,candidate,80.0,,Use best row for preview; keep alternatives as evidence/backfill references.,royal-canin-maxi-ageing-8-dog-dry-gr-official|royal-canin-royal-canin-maxi-ageing-8-dog-dry-gr-spreadsheet|royal-canin-royal-canin-maxi-ageing-8-dog-dry-gr-spreadsheet
hill s|sp puppy small and mini chicken|dog|dry,4,0,4,data/imports/retailer_source_backfill_v2.csv,hill-s-hill-s-sp-puppy-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet,Hill's SP Puppy Small & Mini με Κοτόπουλο,hold,46.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,hill-s-hill-s-sp-puppy-small-mini-chicken-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-puppy-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-puppy-small-mini-chicken-dog-dry-gr-spreadsheet
royal canin|bulldog puppy|dog|dry,3,2,1,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-bulldog-puppy-dog-dry-gr-official,Royal Canin Bulldog Puppy,candidate,86.0,,Use best row for preview; keep alternatives as evidence/backfill references.,royal-canin-bulldog-puppy-dog-dry-gr-gatoskilo|royal-canin-bulldog-puppy-dog-dry-gr-photo
royal canin|chihuahua adult|dog|dry,3,2,1,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-chihuahua-adult-dog-dry-gr-official,Royal Canin Chihuahua Adult,candidate,86.0,,Use best row for preview; keep alternatives as evidence/backfill references.,royal-canin-chihuahua-adult-dog-dry-gr-gatoskilo|royal-canin-chihuahua-adult-dog-dry-gr-photo
royal canin|french bulldog adult|dog|dry,3,2,1,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-french-bulldog-adult-dog-dry-gr-official,Royal Canin French Bulldog Adult,candidate,86.0,,Use best row for preview; keep alternatives as evidence/backfill references.,royal-canin-french-bulldog-adult-dog-dry-gr-gatoskilo|royal-canin-french-bulldog-adult-dog-dry-gr-photo
royal canin|shih tzu adult|dog|dry,3,2,1,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-shih-tzu-adult-dog-dry-gr-official,Royal Canin Shih Tzu Adult,candidate,86.0,,Use best row for preview; keep alternatives as evidence/backfill references.,royal-canin-shih-tzu-adult-dog-dry-gr-gatoskilo|royal-canin-shih-tzu-adult-dog-dry-gr-photo
