canonical_identity_key,rank,score,decision,dataset_file,formula_key,brand,display_name,species,format,source_priority,title_source_priority,missing_blockers,filled_core_fields,filled_mineral_fields,has_kcal,has_source
happy dog|naturcroq duck and rice sterilised|dog|dry,1,95.0,candidate,data/imports/gatoskilo_product_extract_v2.csv,happy-dog-naturcroq-duck-rice-sterilised-dog-dry-gr-retailer,Happy Dog,Happy Dog NaturCroq Duck & Rice Sterilised 11kg,dog,dry,retailer,60,,5,5,yes,yes
royal canin|beagle adult|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-beagle-adult-dog-dry-gr-official,Royal Canin,Royal Canin Beagle Adult,dog,dry,official,40,,4,0,yes,yes
royal canin|beagle adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-beagle-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Beagle Adult 3kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|bichon frise|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-bichon-frise-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Bichon Frise 1.5kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|boxer adult|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-boxer-adult-dog-dry-gr-official,Royal Canin,Royal Canin Boxer Adult,dog,dry,official,40,,5,0,yes,yes
royal canin|boxer adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-boxer-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Boxer Adult 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|bulldog adult|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-bulldog-adult-dog-dry-gr-official,Royal Canin,Royal Canin Bulldog Adult,dog,dry,official,40,,5,0,yes,yes
royal canin|bulldog adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-bulldog-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Bulldog Adult 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|bulldog puppy|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-bulldog-puppy-dog-dry-gr-official,Royal Canin,Royal Canin Bulldog Puppy,dog,dry,official,40,,5,0,yes,yes
royal canin|bulldog puppy|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-bulldog-puppy-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Bulldog Puppy 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|bulldog puppy|dog|dry,3,14.5,hold,data/imports/royal_canin_dog_photo_batch_v2.csv,royal-canin-bulldog-puppy-dog-dry-gr-photo,Royal Canin,Royal Canin Bulldog Puppy,dog,dry,manual_photo,5,ingredient_text|protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg,0,0,no,yes
royal canin|cavalier king charles adult|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-cavalier-king-charles-adult-dog-dry-gr-official,Royal Canin,Royal Canin Cavalier King Charles Adult,dog,dry,official,40,,5,0,yes,yes
royal canin|cavalier king charles adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-cavalier-king-charles-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Cavalier King Charles Adult 1.5kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|chihuahua adult|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-chihuahua-adult-dog-dry-gr-official,Royal Canin,Royal Canin Chihuahua Adult,dog,dry,official,40,,5,0,yes,yes
royal canin|chihuahua adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-chihuahua-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Chihuahua Adult 1.5kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|chihuahua adult|dog|dry,3,14.5,hold,data/imports/royal_canin_dog_photo_batch_v2.csv,royal-canin-chihuahua-adult-dog-dry-gr-photo,Royal Canin,Royal Canin Chihuahua Adult,dog,dry,manual_photo,5,ingredient_text|protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg,0,0,no,yes
royal canin|chihuahua puppy|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-chihuahua-puppy-dog-dry-gr-official,Royal Canin,Royal Canin Chihuahua Puppy,dog,dry,official,40,,4,0,yes,yes
royal canin|chihuahua puppy|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-chihuahua-puppy-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Chihuahua Puppy 500gr,dog,dry,retailer,60,,5,0,yes,yes
royal canin|chihuahua puppy|dog|dry,3,14.5,hold,data/imports/royal_canin_dog_photo_batch_v2.csv,royal-canin-chihuahua-puppy-dog-dry-gr-photo,Royal Canin,Royal Canin Chihuahua Puppy,dog,dry,manual_photo,5,ingredient_text|protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg,0,0,no,yes
royal canin|cocker adult|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-cocker-adult-dog-dry-gr-official,Royal Canin,Royal Canin Cocker Adult,dog,dry,official,40,,4,0,yes,yes
royal canin|cocker adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-cocker-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Cocker Adult 3kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|cocker junior|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-cocker-junior-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Cocker Junior 3kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|dachshund adult|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-dachshund-adult-dog-dry-gr-official,Royal Canin,Royal Canin Dachshund Adult,dog,dry,official,40,,5,0,yes,yes
royal canin|dachshund adult|dog|dry,2,86.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-dachshund-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Dachshund Adult 1.5kg,dog,dry,retailer,60,,5,2,yes,yes
royal canin|dalmatian adult|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-dalmatian-adult-dog-dry-gr-official,Royal Canin,Royal Canin Dalmatian Adult,dog,dry,official,40,,5,0,yes,yes
royal canin|dalmatian adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-dalmatian-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Dalmatian Adult 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|french bulldog adult|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-french-bulldog-adult-dog-dry-gr-official,Royal Canin,Royal Canin French Bulldog Adult,dog,dry,official,40,,5,0,yes,yes
royal canin|french bulldog adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-french-bulldog-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin French Bulldog Adult 3kg,dog,dry,retailer,60,,5,0,yes,yes
