priority,action,brand,current_formula_name,current_display_name,suggested_formula_name,suggested_display_name,species,format,life_stage,dog_size,source_priority,source_rank,data_source_url,formula_key,reasons
medium,apply_suggested_title_if_source_matches,Acana,Bountiful Catch Adult,Acana Bountiful Catch Adult 4.5kg,Bountiful Catch Adult,Acana Bountiful Catch Adult,cat,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/15598-acana-bountiful-catch-adult-45kg.html,acana-bountiful-catch-adult-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Acana,Grasslands Cat & Kitten,Acana Grasslands Cat & Kitten 4.5kg,Grasslands Cat & Kitten,Acana Grasslands Cat & Kitten,cat,dry,kitten,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/12562-acana-grasslands-cat-kitten-45kg.html,acana-grasslands-cat-and-kitten-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Acana,Indoor Entrée Adult Sterilised,Acana Indoor Entrée Adult Sterilised 1.8kg,Indoor Entrée Adult Sterilised,Acana Indoor Entrée Adult Sterilised,cat,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/13298-acana-indoor-entrée-adult-sterilised-18kg.html,acana-indoor-entree-adult-sterilised-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Acana,Pacifica Cat & Kitten,Acana Pacifica Cat & Kitten 340gr,Pacifica Cat & Kitten,Acana Pacifica Cat & Kitten,cat,dry,kitten,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/12563-acana-pacifica-cat-kitten-340gr.html,acana-pacifica-cat-and-kitten-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Acana,Prairie Poultry,Acana Prairie Poultry 9.7kg,Prairie Poultry,Acana Prairie Poultry,dog,dry,puppy,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/23953-acana-prairie-poultry-97kg.html,acana-prairie-poultry-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Acana,Wild Coast,Acana Wild Coast 9.7kg,Wild Coast,Acana Wild Coast,dog,dry,puppy,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/23955-acana-wild-coast-97kg.html,acana-wild-coast-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Acana,Wild Prairie Cat & Kitten,Acana Wild Prairie Cat & Kitten 4.5kg,Wild Prairie Cat & Kitten,Acana Wild Prairie Cat & Kitten,cat,dry,kitten,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/12559-acana-wild-prairie-cat-kitten-45kg.html,acana-wild-prairie-cat-and-kitten-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,AdPet,FeedPoint Cat Adult Sterilised με Σολομό,FeedPoint Cat Adult Sterilised με Σολομό 15kg,Feedpoint Cat Adult Sterilised Με Σολομό,AdPet Feedpoint Cat Adult Sterilised Με Σολομό,cat,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/28149-feedpoint-cat-adult-sterilised-me-solomo-15kg.html,adpet-feedpoint-cat-adult-sterilised-με-σολομο-cat-dry-gr-gatoskilo,display_name_missing_brand;display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Amanova,Adult Cat Divine Rabbit Grain Free,Amanova Adult Cat Divine Rabbit 1.5kg Grain Free,Adult Cat Divine Rabbit Grain Free,Amanova Adult Cat Divine Rabbit Grain Free,cat,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/16796-amanova-adult-cat-divine-rabbit-15kg-grain-free.html,amanova-adult-cat-divine-rabbit-grain-free-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Amanova,Adult Cat Exquisite Chicken Low Grain,Amanova Adult Cat Exquisite Chicken 1.5kg Low Grain,Adult Cat Exquisite Chicken Low Grain,Amanova Adult Cat Exquisite Chicken Low Grain,cat,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/16784-amanova-adult-cat-exquisite-chicken-15kg-low-grain.html,amanova-adult-cat-exquisite-chicken-low-grain-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
