audit_source,severity,issue_type,brand,formula_name,display_name,species,format,source_priority,formula_key,suggested_action
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Brit,Care Cat Sterilised Urinary Chicken Grain Free,Brit Care Cat Sterilised Urinary Chicken Grain Free 2kg,cat,dry,retailer,brit-care-cat-sterilised-urinary-chicken-grain-free-cat-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Hills,Hill's PD Canine j/d Joint Care με Κοτόπουλο,Hill's PD Canine j/d Joint Care με Κοτόπουλο 1.5kg,dog,dry,retailer,hills-hill-s-pd-canine-j-d-joint-care-με-κοτοπουλο-dog-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Hills,Hill's PD Canine k/d Kidney Care & Mobility,Hill's PD Canine k/d Kidney Care & Mobility 12kg,dog,dry,retailer,hills-hill-s-pd-canine-k-d-kidney-care-and-mobility-dog-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Hills,Hill's PD Canine Mini Gastrointestinal Biome με Κοτόπουλο,Hill's PD Canine Mini Gastrointestinal Biome με Κοτόπουλο 1kg,dog,dry,retailer,hills-hill-s-pd-canine-mini-gastrointestinal-biome-με-κοτοπουλο-dog-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Hills,Hill's PD Canine u/d Urinary Care,Hill's PD Canine u/d Urinary Care 10kg,dog,dry,retailer,hills-hill-s-pd-canine-u-d-urinary-care-dog-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Hills,Hill's PD Feline c/d Metabolic Urinary Stress,Hill's PD Feline c/d Metabolic Urinary Stress 1.5kg,cat,dry,retailer,hills-hill-s-pd-feline-c-d-metabolic-urinary-stress-cat-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Hills,Hill's PD Feline c/d Multicare Urinary Care με Κοτόπουλο,Hill's PD Feline c/d Multicare Urinary Care με Κοτόπουλο 3kg,cat,dry,retailer,hills-hill-s-pd-feline-c-d-multicare-urinary-care-με-κοτοπουλο-cat-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Hills,Hill's PD Feline c/d Stress Urinary Care,Hill's PD Feline c/d Stress Urinary Care 3kg,cat,dry,retailer,hills-hill-s-pd-feline-c-d-stress-urinary-care-cat-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Hills,Hill's PD Feline Gastrointestinal Biome με Κοτόπουλο,Hill's PD Feline Gastrointestinal Biome με Κοτόπουλο 1.5kg,cat,dry,retailer,hills-hill-s-pd-feline-gastrointestinal-biome-με-κοτοπουλο-cat-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Royal Canin,Vet Diet Cat GastroIntestinal Fibre Response,Royal Canin Vet Diet Cat GastroIntestinal Fibre Response 2kg,cat,dry,retailer,royal-canin-vet-diet-cat-gastrointestinal-fibre-response-cat-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Royal Canin,Vet Diet Urinary S/O Small Dog,Royal Canin Vet Diet Urinary S/O Small Dog 1.5kg,dog,dry,retailer,royal-canin-vet-diet-urinary-s-o-small-dog-dog-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,medium,formula_contains_pack_or_offer,Briantos,Grain-Free Economy Pack 2 x 12kg,Briantos Grain-Free Economy Pack 2 x 12kg,dog,dry,retailer,briantos-grain-free-economy-pack-2-x-12kg-dog-dry-eu-retailer,Remove pack size or offer wording from formula_name; store pack details separately.
food_v2_best_candidate_preview,medium,retailer_title_needs_human_review,Briantos,Grain-Free Economy Pack 2 x 12kg,Briantos Grain-Free Economy Pack 2 x 12kg,dog,dry,retailer,briantos-grain-free-economy-pack-2-x-12kg-dog-dry-eu-retailer,Retailer title has quality warnings; prefer official/PDF title or manual canonicalization.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Purina Pro Plan,Veterinary Diets Small Dog EN Gastrointestinal,Purina Pro Plan Veterinary Diets Small Dog EN Gastrointestinal 1.5kg,dog,dry,retailer,purina-pro-plan-veterinary-diets-small-dog-en-gastrointestinal-dog-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Royal Canin,Vet Diet Cat GastroIntestinal Moderate Calorie,Royal Canin Vet Diet Cat GastroIntestinal Moderate Calorie 2kg,cat,dry,retailer,royal-canin-vet-diet-cat-gastrointestinal-moderate-calorie-cat-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Royal Canin,Vet Diet Dog Urinary UC Low P,Royal Canin Vet Diet Dog Urinary UC Low P 2kg,dog,dry,retailer,royal-canin-vet-diet-dog-urinary-uc-low-p-dog-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Hill's Prescription Diet,Canine c/d Multicare Urinary Care - Chicken,Hill's Prescription Diet Canine c/d Multicare Urinary Care - Chicken,dog,dry,retailer,hill-s-prescription-diet-canine-c-d-multicare-urinary-care-chicken-dog-dry-eu-retailer,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Royal Canin,Vet Diet Dog GastroIntestinal High Fibre,Royal Canin Vet Diet Dog GastroIntestinal High Fibre 2kg,dog,dry,retailer,royal-canin-vet-diet-dog-gastrointestinal-high-fibre-dog-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Royal Canin,Vet Diet Dog GastroIntestinal Low Fat,Royal Canin Vet Diet Dog GastroIntestinal Low Fat 1.5kg,dog,dry,retailer,royal-canin-vet-diet-dog-gastrointestinal-low-fat-dog-dry-gr-gatoskilo,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Royal Canin Veterinary Diet,Royal Canin Veterinary Canine Gastrointestinal Low Fat,Royal Canin Veterinary Canine Gastrointestinal Low Fat,dog,dry,retailer,royal-canin-veterinary-diet-royal-canin-veterinary-canine-gastrointestinal-low-fat-dog-dry-eu-retailer,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
food_v2_best_candidate_preview,info,medical_claim_product_line_ok,Royal Canin Veterinary Diet,Royal Canin Veterinary Dog - Gastrointestinal,Royal Canin Veterinary Dog - Gastrointestinal,dog,dry,retailer,royal-canin-veterinary-diet-royal-canin-veterinary-dog-gastrointestinal-dog-dry-eu-retailer,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
category_product_sources_registry,info,formula_name_brand_prefix_auto_cleaned,Briantos,Adult Grain-Free Duck & Potato,Briantos Adult Grain-Free Duck & Potato,dog,dry,retailer,zooplus_dog_dry_category|https://www.zooplus.com/shop/dogs/dry_dog_food/briantos/grain_free/997870?activeVariant=997870.0,Import preview strips this duplicated brand prefix automatically; keep watching display_name only.
category_product_sources_registry,info,formula_name_brand_prefix_auto_cleaned,Hill's Prescription Diet,Canine i/d Digestive Care - Chicken,Hill's Prescription Diet Canine i/d Digestive Care - Chicken,dog,dry,retailer,zooplus_dog_dry_category|https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/gastrointestinal/168526?activeVariant=168526.10,Import preview strips this duplicated brand prefix automatically; keep watching display_name only.
category_product_sources_registry,info,formula_name_brand_prefix_auto_cleaned,Hill's Prescription Diet,z/d Food Sensitivities,Hill's Prescription Diet z/d Food Sensitivities,dog,dry,retailer,zooplus_dog_dry_category|https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/allergies_intolerances/466931,Import preview strips this duplicated brand prefix automatically; keep watching display_name only.
category_product_sources_registry,info,formula_name_brand_prefix_auto_cleaned,Hill's Prescription Diet,Canine Metabolic+Mobility Weight+Joint Care Chicken,Hill's Prescription Diet Canine Metabolic+Mobility Weight+Joint Care Chicken,dog,dry,retailer,zooplus_dog_dry_category|https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/weight_management/556480?activeVariant=556480.2,Import preview strips this duplicated brand prefix automatically; keep watching display_name only.
category_product_sources_registry,info,medical_claim_product_line_ok,Hill's Prescription Diet,Hill's Prescription Diet Canine Metabolic+Mobility Weight+Joint Care Chicken,Hill's Prescription Diet Canine Metabolic+Mobility Weight+Joint Care Chicken,dog,dry,retailer,zooplus_dog_dry_category|https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/weight_management/556480?activeVariant=556480.2,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
category_product_sources_registry,info,formula_name_brand_prefix_auto_cleaned,Hill's Prescription Diet,Gastrointestinal Biome with Chicken,Hill's Prescription Diet Gastrointestinal Biome with Chicken,dog,dry,retailer,zooplus_dog_dry_category|https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/gastrointestinal/838815,Import preview strips this duplicated brand prefix automatically; keep watching display_name only.
category_product_sources_registry,info,medical_claim_product_line_ok,Hill's Prescription Diet,Hill's Prescription Diet Gastrointestinal Biome with Chicken,Hill's Prescription Diet Gastrointestinal Biome with Chicken,dog,dry,retailer,zooplus_dog_dry_category|https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/gastrointestinal/838815,Concise veterinary/condition wording looks like a product line; keep visible but do not treat as a title cleanup blocker.
