priority,issue_type,brand,name,species,market,data_quality_status,field,current_value,recommended_action,data_source_url
medium,missing_optional_mineral,Farmina,N&D Ancestral Grain Chicken & Pomegranate Puppy Mini,dog,MT,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://www.farmina.com/mt/eshop/dog-food/n%26d-ancestral-grain-dog/106-chicken-%26-pomegranate-puppy-mini.html
medium,missing_optional_mineral,Farmina,N&D Ancestral Grain Chicken & Pomegranate Puppy Mini,dog,MT,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://www.farmina.com/mt/eshop/dog-food/n%26d-ancestral-grain-dog/106-chicken-%26-pomegranate-puppy-mini.html
medium,partial_row,Farmina,N&D Ancestral Grain Chicken & Pomegranate Puppy Mini,dog,MT,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://www.farmina.com/mt/eshop/dog-food/n%26d-ancestral-grain-dog/106-chicken-%26-pomegranate-puppy-mini.html
medium,missing_optional_mineral,Farmina,N&D Pumpkin Chicken and Pomegranate Adult Mini,dog,MT,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://www.farmina.com/mt/eshop/dog-food/n%26d-pumpkin-dog/390-chicken-and-pomegranate-adult-mini.html
medium,missing_optional_mineral,Farmina,N&D Pumpkin Chicken and Pomegranate Adult Mini,dog,MT,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://www.farmina.com/mt/eshop/dog-food/n%26d-pumpkin-dog/390-chicken-and-pomegranate-adult-mini.html
medium,partial_row,Farmina,N&D Pumpkin Chicken and Pomegranate Adult Mini,dog,MT,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://www.farmina.com/mt/eshop/dog-food/n%26d-pumpkin-dog/390-chicken-and-pomegranate-adult-mini.html
medium,missing_optional_mineral,Virbac,Veterinary HPM Adult Entire Large & Medium,dog,UK,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://uk.virbac.com/products/petfood/adult-neutered-dog-food-large
medium,partial_row,Virbac,Veterinary HPM Adult Entire Large & Medium,dog,UK,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://uk.virbac.com/products/petfood/adult-neutered-dog-food-large
medium,missing_optional_mineral,Virbac,Veterinary HPM Puppy Large & Medium,dog,UK,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://checkout.uk.virbac.com/products/puppy-large-medium-dry-puppy-food-for-medium-large-breeds
medium,partial_row,Virbac,Veterinary HPM Puppy Large & Medium,dog,UK,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://checkout.uk.virbac.com/products/puppy-large-medium-dry-puppy-food-for-medium-large-breeds
medium,missing_optional_mineral,Virbac,Veterinary HPM Adult Sensitive Neutered Large & Medium,dog,UK,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://uk.virbac.com/products/adult-sensitive-neutered-dog-food-for-medium-large-breeds
medium,partial_row,Virbac,Veterinary HPM Adult Sensitive Neutered Large & Medium,dog,UK,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://uk.virbac.com/products/adult-sensitive-neutered-dog-food-for-medium-large-breeds
