formula_key,brand,formula_name,species,format,status,source_url,source_file,pack_size,extracted_fields,missing_fields,notes
aatu-cat-salmon-cat-dry-gr-gatoskilo,AATU,Cat Salmon,cat,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-gatas/4296-aatu-cat-salmon-3kg.html,C:\Users\NIOstb\Desktop\nutrital links\AATU Cat Salmon 3kg - Gatoskilo.html,3kg,brand|formula_name|display_name|species|format|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|omega3_percent|omega6_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=3kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\nutrital links\AATU Cat Salmon 3kg - Gatoskilo.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=28; declared_moisture_used_for_estimate=true; pack_sizes_seen=3kg
acana-bountiful-catch-adult-cat-dry-gr-gatoskilo,Acana,Bountiful Catch Adult,cat,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-gatas/15598-acana-bountiful-catch-adult-45kg.html,C:\Users\NIOstb\Desktop\nutrital links\Acana Bountiful Catch Adult 4.5kg - Gatoskilo.html,4.5kg,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|magnesium_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_e_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=4.5kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\nutrital links\Acana Bountiful Catch Adult 4.5kg - Gatoskilo.html; pack_sizes_seen=4.5kg
acana-first-feast-kitten-cat-dry-gr-gatoskilo,Acana,First Feast Kitten,cat,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-gatas/13291-acana-first-feast-kitten-18kg.html,C:\Users\NIOstb\Desktop\nutrital links\Acana First Feast Kitten 1.8kg - Gatoskilo.html,1.8kg,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|magnesium_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|vitamin_d3_iukg|vitamin_e_mgkg|zinc_mgkg|copper_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=1.8kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\nutrital links\Acana First Feast Kitten 1.8kg - Gatoskilo.html; pack_sizes_seen=1.8kg
acana-grasslands-cat-and-kitten-cat-dry-gr-gatoskilo,Acana,Grasslands Cat & Kitten,cat,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-gatas/12560-acana-grasslands-cat-kitten-340gr.html,C:\Users\NIOstb\Desktop\nutrital links\Acana Grasslands Cat & Kitten 340gr - Gatoskilo.html,340gr,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|magnesium_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|vitamin_d3_iukg|vitamin_e_mgkg|zinc_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=340gr; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\nutrital links\Acana Grasslands Cat & Kitten 340gr - Gatoskilo.html; pack_sizes_seen=340gr
acana-homestead-harvest-adult-cat-dry-gr-gatoskilo,Acana,Homestead Harvest Adult,cat,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-gatas/13294-acana-homestead-harvest-adult-45kg.html,C:\Users\NIOstb\Desktop\nutrital links\Acana Homestead Harvest Adult 4.5kg - Gatoskilo.html,4.5kg,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|magnesium_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|vitamin_d3_iukg|vitamin_e_mgkg|zinc_mgkg|copper_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=4.5kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\nutrital links\Acana Homestead Harvest Adult 4.5kg - Gatoskilo.html; pack_sizes_seen=4.5kg
acana-indoor-entree-adult-sterilised-cat-dry-gr-gatoskilo,Acana,Indoor Entrée Adult Sterilised,cat,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-gatas/13299-acana-indoor-entrée-adult-sterilised-45kg.html,C:\Users\NIOstb\Desktop\nutrital links\Acana Indoor Entrée Adult Sterilised 4.5kg - Gatoskilo.html,4.5kg,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|magnesium_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|zinc_mgkg|copper_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=4.5kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\nutrital links\Acana Indoor Entrée Adult Sterilised 4.5kg - Gatoskilo.html; pack_sizes_seen=4.5kg
acana-pacifica-cat-and-kitten-cat-dry-gr-gatoskilo,Acana,Pacifica Cat & Kitten,cat,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-gatas/12563-acana-pacifica-cat-kitten-340gr.html,C:\Users\NIOstb\Desktop\nutrital links\Acana Pacifica Cat & Kitten 340gr - Gatoskilo.html,340gr,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|magnesium_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=340gr; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\nutrital links\Acana Pacifica Cat & Kitten 340gr - Gatoskilo.html; pack_sizes_seen=340gr
acana-wild-prairie-cat-and-kitten-cat-dry-gr-gatoskilo,Acana,Wild Prairie Cat & Kitten,cat,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-gatas/12559-acana-wild-prairie-cat-kitten-45kg.html,C:\Users\NIOstb\Desktop\nutrital links\Acana Wild Prairie Cat & Kitten 4.5kg - Gatoskilo.html,4.5kg,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|magnesium_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|vitamin_e_mgkg|zinc_mgkg|copper_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=4.5kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\nutrital links\Acana Wild Prairie Cat & Kitten 4.5kg - Gatoskilo.html; pack_sizes_seen=4.5kg
alaska-river-grain-free-cat-adult-sterilised-chicken-and-salmon-cat-dry-gr-gatoskilo,Alaska River,Grain Free Cat Adult Sterilised Chicken & Salmon,cat,dry,needs_backfill,https://www.gatoskilo.gr/ksira-trofi-gatas/27981-alaska-river-grain-free-cat-adult-sterilised-chicken-salmon-2kg.html,C:\Users\NIOstb\Desktop\nutrital links\Alaska River Grain Free Cat Adult Sterilised Chicken & Salmon 2kg - Gatoskilo.html,2kg,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|magnesium_percent|potassium_percent|taurine_mgkg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=2kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\nutrital links\Alaska River Grain Free Cat Adult Sterilised Chicken & Salmon 2kg - Gatoskilo.html; pack_sizes_seen=2kg
alaska-river-grain-free-cat-adult-sterilised-chicken-and-turkey-cat-dry-gr-gatoskilo,Alaska River,Grain Free Cat Adult Sterilised Chicken & Turkey,cat,dry,needs_backfill,https://www.gatoskilo.gr/ksira-trofi-gatas/27978-alaska-river-grain-free-cat-adult-sterilised-chicken-turkey-2kg.html,C:\Users\NIOstb\Desktop\nutrital links\Alaska River Grain Free Cat Adult Sterilised Chicken & Turkey 2kg - Gatoskilo.html,2kg,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|magnesium_percent|potassium_percent|taurine_mgkg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=2kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\nutrital links\Alaska River Grain Free Cat Adult Sterilised Chicken & Turkey 2kg - Gatoskilo.html; pack_sizes_seen=2kg
