formula_key,brand,formula_name,species,format,kcal_per_100g,kcal_per_kg,calculation_note,source_url,recommended_action
equilibrio-skin-and-digestion-salmon-dog-dry-gr-gatoskilo,Equilibrio,Skin & Digestion Salmon,dog,dry,365,3650,kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=38,https://www.gatoskilo.gr/ksira-trofi-skyloy/10272-equilibrio-skin-digestion-salmon-2kg.html,Keep as review-safe estimate until official label kcal is found.
equilibrio-reduced-calorie-dog-dry-gr-gatoskilo,Equilibrio,Reduced Calorie,dog,dry,328.3,3283,kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=42.5,https://www.gatoskilo.gr/ksira-trofi-skyloy/10276-equilibrio-reduced-calorie-12kg.html,Keep as review-safe estimate until official label kcal is found.
versele-laga-opti-life-adult-skin-care-mini-dog-dry-gr-gatoskilo,Versele Laga,Opti Life Adult Skin Care Mini,dog,dry,367.1,3671,kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=39.6,https://www.gatoskilo.gr/ksira-trofi-skyloy/10668-opti-life-adult-skin-care-mini-75kg.html,Keep as review-safe estimate until official label kcal is found.
josera-bavaro-force-dog-dry-gr-gatoskilo,Josera,Bavaro Force,dog,dry,366,3660,kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=37.7,https://www.gatoskilo.gr/ksira-trofi-skyloy/10799-josera-bavaro-force-18kg.html,Keep as review-safe estimate until official label kcal is found.
canagan-small-breed-dental-for-dogs-dog-dry-gr-gatoskilo,Canagan,Small Breed Dental for Dogs,dog,dry,279.3,2793,kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=44.6,https://www.gatoskilo.gr/ksira-trofi-skyloy/10896-canagan-small-breed-dental-for-dogs-2kg.html,Keep as review-safe estimate until official label kcal is found.
ambrosia-grain-free-adult-mini-senior-light-sterilised-fresh-salmon-and-turkey-dog-dry-gr-gatoskilo,Ambrosia,Grain Free Adult Mini Senior Light Sterilised Fresh Salmon & Turkey,dog,dry,274.5,2745,kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=54.7,https://www.gatoskilo.gr/ksira-trofi-skyloy/17663-ambrosia-grain-free-adult-mini-senior-light-sterilised-fresh-salmon-turkey-5kg.html,Keep as review-safe estimate until official label kcal is found.
amity-adult-mini-dog-dry-gr-gatoskilo,Amity,Adult Mini,dog,dry,340.7,3407,kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=40.2,https://www.gatoskilo.gr/ksira-trofi-skyloy/19232-amity-adult-mini-10kg.html,Keep as review-safe estimate until official label kcal is found.
royal-canin-vet-diet-dog-sensitivity-control-dog-dry-gr-gatoskilo,Royal Canin,Vet Diet Dog Sensitivity Control,dog,dry,275.3,2753,kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=56,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/22242-royal-canin-vet-diet-dog-sensitivity-control-14kg.html,Keep as review-safe estimate until official label kcal is found.
nature-s-protection-white-dog-insect-grain-free-adult-mini-dog-dry-gr-gatoskilo,Nature,'s Protection White Dog Insect Grain Free Adult Mini,dog,dry,284.7,2847,kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=54,https://www.gatoskilo.gr/ksira-trofi-skyloy/22407-nature-s-protection-white-dog-insect-grain-free-adult-mini-15kg.html,Keep as review-safe estimate until official label kcal is found.
nature-s-protection-red-coat-salmon-grain-free-adult-mini-dog-dry-gr-gatoskilo,Nature,'s Protection Red Coat Salmon Grain Free Adult Mini,dog,dry,278.9,2789,kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=50.7,https://www.gatoskilo.gr/ksira-trofi-skyloy/22413-nature-s-protection-red-coat-salmon-grain-free-adult-mini-15kg.html,Keep as review-safe estimate until official label kcal is found.
aatu-chicken-complete-dog-dry-gr-gatoskilo,AATU,Chicken Complete,dog,dry,292.5,2925,kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=48.9,https://www.gatoskilo.gr/ksira-trofi-skyloy/4279-aatu-chicken-complete-10kg.html,Keep as review-safe estimate until official label kcal is found.
