formula_key,brand,formula_name,species,format,status,source_url,source_file,pack_size,extracted_fields,missing_fields,notes
belcando-adult-light-dog-dry-gr-gatoskilo,Belcando,Adult Light,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/11247-belcando-adult-light-1kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\11247-belcando-adult-light-1kg.html,1kg|4kg,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=1kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\11247-belcando-adult-light-1kg.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=49.7; declared_moisture_used_for_estimate=true; pack_sizes_seen=1kg|4kg; duplicate_local_or_pack_rows_skipped=1
n-and-d-ocean-low-grain-cod-and-orange-adult-mini-dog-dry-gr-gatoskilo,N&D,Ocean Low Grain Cod & Orange Adult Mini,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/12899-nd-ocean-low-grain-cod-orange-adult-mini-25kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\12899-nd-ocean-low-grain-cod-orange-adult-mini-25kg.html,2.5kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|dha_percent|epa_percent|taurine_mgkg|l_carnitine_mgkg|chondroitin_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=2.5kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\12899-nd-ocean-low-grain-cod-orange-adult-mini-25kg.html; pack_sizes_seen=2.5kg
happy-dog-naturcroq-σολομοσ-and-ρυζι-dog-dry-gr-gatoskilo,Happy Dog,NaturCroq Σολομός & Ρύζι,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/19195-happy-dog-naturcroq-solomos-rizi-11kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\19195-happy-dog-naturcroq-solomos-rizi-11kg.html,11kg|4kg,brand|formula_name|display_name|species|format|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|potassium_percent|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=11kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\19195-happy-dog-naturcroq-solomos-rizi-11kg.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=50; default_moisture_percent=10; pack_sizes_seen=11kg|4kg; duplicate_local_or_pack_rows_skipped=1
ambrosia-mediterranean-grain-free-senior-light-and-sterilised-fresh-sardine-and-cod-dog-dry-gr-gatoskilo,Ambrosia,Mediterranean Grain Free Senior Light & Sterilised Fresh Sardine & Cod,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/25313-ambrosia-mediterranean-grain-free-senior-light-sterilised-fresh-sardine-cod-5kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\25313-ambrosia-mediterranean-grain-free-senior-light-sterilised-fresh-sardine-cod-5kg.html,5kg|1.5kg,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=5kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\25313-ambrosia-mediterranean-grain-free-senior-light-sterilised-fresh-sardine-cod-5kg.html; pack_sizes_seen=5kg|1.5kg; duplicate_local_or_pack_rows_skipped=1
brit-care-grain-free-dog-junior-large-salmon-dog-dry-gr-gatoskilo,Brit,Care Grain Free Dog Junior Large Salmon,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/26510-brit-care-grain-free-dog-junior-large-salmon-12kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\26510-brit-care-grain-free-dog-junior-large-salmon-12kg.html,12kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=12kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\26510-brit-care-grain-free-dog-junior-large-salmon-12kg.html; pack_sizes_seen=12kg
brit-care-grain-free-dog-puppy-salmon-dog-dry-gr-gatoskilo,Brit,Care Grain Free Dog Puppy Salmon,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/26513-brit-care-grain-free-dog-puppy-salmon-12kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\26513-brit-care-grain-free-dog-puppy-salmon-12kg.html,12kg|3kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=12kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\26513-brit-care-grain-free-dog-puppy-salmon-12kg.html; pack_sizes_seen=12kg|3kg; duplicate_local_or_pack_rows_skipped=1
gemon-dog-adult-all-breeds-chicken-and-rice-dog-dry-gr-gatoskilo,Gemon,Dog Adult All Breeds Chicken & Rice,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/27189-gemon-dog-adult-all-breeds-chicken-rice-20kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\27189-gemon-dog-adult-all-breeds-chicken-rice-20kg.html,20kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|l_carnitine_mgkg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=20kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\27189-gemon-dog-adult-all-breeds-chicken-rice-20kg.html; pack_sizes_seen=20kg
club-4-paws-puppies-large-breeds-dog-dry-gr-gatoskilo,Club 4 Paws,Puppies Large Breeds,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/28341-club-4-paws-puppies-large-breeds-14kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\28341-club-4-paws-puppies-large-breeds-14kg.html,14kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|glucosamine_mgkg|chondroitin_mgkg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=14kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\28341-club-4-paws-puppies-large-breeds-14kg.html; pack_sizes_seen=14kg
club-4-paws-adult-medium-chicken-dog-dry-gr-gatoskilo,Club 4 Paws,Adult Medium Chicken,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/28350-club-4-paws-adult-medium-chicken-2kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\28350-club-4-paws-adult-medium-chicken-2kg.html,2kg|14kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=2kg; label_energy_used=true; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\28350-club-4-paws-adult-medium-chicken-2kg.html; pack_sizes_seen=2kg|14kg; duplicate_local_or_pack_rows_skipped=1
happy-dog-ireland-dog-dry-gr-gatoskilo,Happy Dog,Ireland,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/28495-happy-dog-ireland-11kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\28495-happy-dog-ireland-11kg.html,11kg,brand|formula_name|display_name|species|format|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|omega3_percent|omega6_percent|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=11kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\28495-happy-dog-ireland-11kg.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=58.7; default_moisture_percent=10; pack_sizes_seen=11kg
