formula_key,brand,formula_name,species,format,status,source_url,source_file,pack_size,extracted_fields,missing_fields,notes
royal-canin-mini-light-weight-care-dog-dry-gr-gatoskilo,Royal Canin,Mini Light Weight Care,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/9516-royal-canin-mini-light-weight-care-3kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Μini Light Weight Care 3kg - Gatoskilo.html,3kg,brand|formula_name|display_name|species|format|dog_size|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=3kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Μini Light Weight Care 3kg - Gatoskilo.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=37.5; default_moisture_percent=10; pack_sizes_seen=3kg
royal-canin-beagle-adult-dog-dry-gr-gatoskilo,Royal Canin,Beagle Adult,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/5106-royal-canin-beagle-adult-3kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Beagle Adult 3kg - Gatoskilo.html,3kg,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|dha_percent|epa_percent|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=3kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Beagle Adult 3kg - Gatoskilo.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=41.1; default_moisture_percent=10; pack_sizes_seen=3kg
royal-canin-bichon-frise-dog-dry-gr-gatoskilo,Royal Canin,Bichon Frise,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/5108-royal-canin-bichon-frise-15kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Bichon Frise 1.5kg - Gatoskilo.html,1.5kg,brand|formula_name|display_name|species|format|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=1.5kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Bichon Frise 1.5kg - Gatoskilo.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=37.1; default_moisture_percent=10; pack_sizes_seen=1.5kg
royal-canin-boxer-adult-dog-dry-gr-gatoskilo,Royal Canin,Boxer Adult,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/4651-royal-canin-boxer-adult-12kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Boxer Adult 12kg - Gatoskilo.html,12kg,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=12kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Boxer Adult 12kg - Gatoskilo.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=35.2; default_moisture_percent=10; pack_sizes_seen=12kg
royal-canin-bulldog-adult-dog-dry-gr-gatoskilo,Royal Canin,Bulldog Adult,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/5112-royal-canin-bulldog-adult-12kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Bulldog Adult 12kg - Gatoskilo.html,12kg,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=12kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Bulldog Adult 12kg - Gatoskilo.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=42.7; default_moisture_percent=10; pack_sizes_seen=12kg
royal-canin-bulldog-puppy-dog-dry-gr-gatoskilo,Royal Canin,Bulldog Puppy,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/5114-royal-canin-bulldog-puppy-12kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Bulldog Puppy 12kg - Gatoskilo.html,12kg,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=12kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Bulldog Puppy 12kg - Gatoskilo.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=33.2; default_moisture_percent=10; pack_sizes_seen=12kg
royal-canin-cavalier-king-charles-adult-dog-dry-gr-gatoskilo,Royal Canin,Cavalier King Charles Adult,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/5115-royal-canin-cavalier-king-charles-adult-15kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Cavalier King Charles Adult 1.5kg - Gatoskilo.html,1.5kg,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=1.5kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Cavalier King Charles Adult 1.5kg - Gatoskilo.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=40.8; default_moisture_percent=10; pack_sizes_seen=1.5kg
royal-canin-chihuahua-adult-dog-dry-gr-gatoskilo,Royal Canin,Chihuahua Adult,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/5118-royal-canin-chihuahua-adult-15kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Chihuahua Adult 1.5kg - Gatoskilo.html,1.5kg,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=1.5kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Chihuahua Adult 1.5kg - Gatoskilo.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=38.8; default_moisture_percent=10; pack_sizes_seen=1.5kg
royal-canin-chihuahua-puppy-dog-dry-gr-gatoskilo,Royal Canin,Chihuahua Puppy,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/5119-royal-canin-chihuahua-puppy-500gr.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Chihuahua Puppy 500gr - Gatoskilo.html,500gr,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=500gr; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Chihuahua Puppy 500gr - Gatoskilo.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=31.4; default_moisture_percent=10; pack_sizes_seen=500gr
royal-canin-cocker-adult-dog-dry-gr-gatoskilo,Royal Canin,Cocker Adult,dog,dry,importable_after_qa,https://www.gatoskilo.gr/ksira-trofi-skyloy/5121-royal-canin-cocker-adult-3kg.html,C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Cocker Adult 3kg - Gatoskilo.html,3kg,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|ean|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=gatoskilo_local_html_batch; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true; canonical_formula_level_row=true; pack_size_seen=3kg; label_ash_used=true; source_file=C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo royal canin dog\Royal Canin Cocker Adult 3kg - Gatoskilo.html; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=44.8; default_moisture_percent=10; pack_sizes_seen=3kg
