issue_type,brand,formula_name,display_name,species,format,source_url,formula_key,suggested_action
formula_contains_species_word,Brit,Care Grain Free Dog Junior Large Salmon,Brit Care Grain Free Dog Junior Large Salmon 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26510-brit-care-grain-free-dog-junior-large-salmon-12kg.html,brit-care-grain-free-dog-junior-large-salmon-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Grain Free Dog Puppy Salmon,Brit Care Grain Free Dog Puppy Salmon 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26513-brit-care-grain-free-dog-puppy-salmon-12kg.html,brit-care-grain-free-dog-puppy-salmon-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Gemon,Dog Adult All Breeds Chicken & Rice,Gemon Dog Adult All Breeds Chicken & Rice 20kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/27189-gemon-dog-adult-all-breeds-chicken-rice-20kg.html,gemon-dog-adult-all-breeds-chicken-and-rice-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Acana,Grasslands Cat & Kitten,Acana Grasslands Cat & Kitten 4.5kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/12562-acana-grasslands-cat-kitten-45kg.html,acana-grasslands-cat-and-kitten-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Acana,Pacifica Cat & Kitten,Acana Pacifica Cat & Kitten 340gr,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/12563-acana-pacifica-cat-kitten-340gr.html,acana-pacifica-cat-and-kitten-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Acana,Wild Prairie Cat & Kitten,Acana Wild Prairie Cat & Kitten 4.5kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/12559-acana-wild-prairie-cat-kitten-45kg.html,acana-wild-prairie-cat-and-kitten-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Alaska River,Grain Free Cat Adult Sterilised Chicken & Salmon,Alaska River Grain Free Cat Adult Sterilised Chicken & Salmon 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/27981-alaska-river-grain-free-cat-adult-sterilised-chicken-salmon-2kg.html,alaska-river-grain-free-cat-adult-sterilised-chicken-and-salmon-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Amanova,Adult Cat Divine Rabbit Grain Free,Amanova Adult Cat Divine Rabbit 1.5kg Grain Free,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/16796-amanova-adult-cat-divine-rabbit-15kg-grain-free.html,amanova-adult-cat-divine-rabbit-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Amanova,Adult Cat Exquisite Chicken Low Grain,Amanova Adult Cat Exquisite Chicken 1.5kg Low Grain,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/16784-amanova-adult-cat-exquisite-chicken-15kg-low-grain.html,amanova-adult-cat-exquisite-chicken-low-grain-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Amanova,Adult Cat Turkey Delight Grain Free,Amanova Adult Cat Turkey Delight 1.5kg Grain Free,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/16795-amanova-adult-cat-turkey-delight-15kg-grain-free.html,amanova-adult-cat-turkey-delight-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Amanova,Dog Adult Sensitive Salmon Deluxe Grain Free,Amanova Dog Adult Sensitive Salmon Deluxe 2kg Grain Free,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/16767-amanova-dog-adult-sensitive-salmon-deluxe-2kg-grain-free.html,amanova-dog-adult-sensitive-salmon-deluxe-grain-free-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Amanova,Dog Puppy Digestive Divine Rabbit Grain Free,Amanova Dog Puppy Digestive Divine Rabbit 2kg Grain Free,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/16771-amanova-dog-puppy-digestive-divine-rabbit-2kg-grain-free.html,amanova-dog-puppy-digestive-divine-rabbit-grain-free-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Amanova,Sterilised Cat Delicious Lamb Low Grain,Amanova Sterilised Cat Delicious Lamb 1.5kg Low Grain,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/16788-amanova-sterilised-cat-delicious-lamb-15kg-low-grain.html,amanova-sterilised-cat-delicious-lamb-low-grain-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Amanova,Sterilised Cat Exquisite Chicken Low Grain,Amanova Sterilised Cat Exquisite Chicken 1.5kg Low Grain,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/16785-amanova-sterilised-cat-exquisite-chicken-15kg-low-grain.html,amanova-sterilised-cat-exquisite-chicken-low-grain-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Amanova,Sterilised Cat Fish Delicacy Grain Free,Amanova Sterilised Cat Fish Delicacy 1.5kg Grain Free,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/16792-amanova-sterilised-cat-fish-delicacy-15kg-grain-free.html,amanova-sterilised-cat-fish-delicacy-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Amanova,Sterilised Cat Salmon Deluxe Low Grain,Amanova Sterilised Cat Salmon Deluxe 1.5kg Low Grain,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/16791-amanova-sterilised-cat-salmon-deluxe-15kg-low-grain.html,amanova-sterilised-cat-salmon-deluxe-low-grain-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Ambrosia,Grain Free Cat & Kitten Turkey & Chicken,Ambrosia Grain Free Cat & Kitten Turkey & Chicken 1.5kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/17653-ambrosia-grain-free-cat-kitten-turkey-chicken-15kg.html,ambrosia-grain-free-cat-and-kitten-turkey-and-chicken-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Ambrosia,Grain Free Cat Adult & Sterilized Fresh Salmon & Chicken,Ambrosia Grain Free Cat Adult & Sterilized Fresh Salmon & Chicken 1.5kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/17657-ambrosia-grain-free-cat-adult-sterilized-fresh-salmon-chicken-15kg.html,ambrosia-grain-free-cat-adult-and-sterilized-fresh-salmon-and-chicken-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Ambrosia,Grain Free Cat Sterilised Turkey & Herring,Ambrosia Grain Free Cat Sterilised Turkey & Herring 5kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/17656-ambrosia-grain-free-cat-sterilised-turkey-herring-5kg.html,ambrosia-grain-free-cat-sterilised-turkey-and-herring-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Ambrosia,Grain Free Cat Sterilized Fresh Duck & Turkey,Ambrosia Grain Free Cat Sterilized Fresh Duck & Turkey 1.5kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/25302-ambrosia-grain-free-cat-sterilized-fresh-duck-turkey-15kg.html,ambrosia-grain-free-cat-sterilized-fresh-duck-and-turkey-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Ambrosia,Grain Free Cat Sterilized Turkey & Herring,Ambrosia Grain Free Cat Sterilized Turkey & Herring 1.5kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/17655-ambrosia-grain-free-cat-sterilized-turkey-herring-15kg.html,ambrosia-grain-free-cat-sterilized-turkey-and-herring-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Anima,Dog Adult Chicken & Turkey,Anima Dog Adult Chicken & Turkey 14kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/27641-anima-dog-adult-chicken-turkey-14kg.html,anima-dog-adult-chicken-and-turkey-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Anima,Dog Adult Lamb & Rice,Anima Dog Adult Lamb & Rice 14kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/27643-anima-dog-adult-lamb-rice-14kg.html,anima-dog-adult-lamb-and-rice-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Barking Heads,Fat Dog Slim Chicken,Barking Heads Fat Dog Slim Chicken 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/25400-barking-heads-fat-dog-slim-chicken-12kg.html,barking-heads-fat-dog-slim-chicken-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Bozita,Cat Senior 8+ Salmon,Bozita Cat Senior 8+ Salmon 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/23581-bozita-cat-senior-8-salmon-2kg.html,bozita-cat-senior-8-salmon-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brekkies,Cat Adult Complet,Brekkies Cat Adult Complet 15kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/13427-brekkies-cat-adult-complet-15kg.html,brekkies-cat-adult-complet-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brekkies,Cat Adult Delice Meat,Brekkies Cat Adult Delice Meat 20kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/13429-brekkies-cat-adult-delice-meat-20kg.html,brekkies-cat-adult-delice-meat-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brekkies,Cat Adult Mix Beef,Brekkies Cat Adult Mix Beef 15kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/13424-brekkies-cat-adult-mix-beef-15kg.html,brekkies-cat-adult-mix-beef-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brekkies,Cat Adult Mix Fish,Brekkies Cat Adult Mix Fish 15kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/13426-brekkies-cat-adult-mix-fish-15kg.html,brekkies-cat-adult-mix-fish-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brekkies,Cat Adult Special Care Urinary,Brekkies Cat Adult Special Care Urinary 20kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/13432-brekkies-cat-adult-special-care-urinary-20kg.html,brekkies-cat-adult-special-care-urinary-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Cat Adult Haircare Salmon & Chicken Grain Free,Brit Care Cat Adult Haircare Salmon & Chicken Grain Free 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26630-brit-care-cat-adult-haircare-salmon-chicken-grain-free-2kg.html,brit-care-cat-adult-haircare-salmon-and-chicken-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Cat Adult Indoor Chicken Grain Free,Brit Care Cat Adult Indoor Chicken Grain Free 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26633-brit-care-cat-adult-indoor-chicken-grain-free-2kg.html,brit-care-cat-adult-indoor-chicken-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Cat Kitten Grain Free Chicken & Turkey,Brit Care Cat Kitten Grain Free Chicken & Turkey 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26636-brit-care-cat-kitten-grain-free-chicken-turkey-2kg.html,brit-care-cat-kitten-grain-free-chicken-and-turkey-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Cat Kitten Grain Free Salmon,Brit Care Cat Kitten Grain Free Salmon 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26639-brit-care-cat-kitten-grain-free-salmon-2kg.html,brit-care-cat-kitten-grain-free-salmon-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Cat Senior Weight Control Chicken Grain Free,Brit Care Cat Senior Weight Control Chicken Grain Free 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26642-brit-care-cat-senior-weight-control-chicken-grain-free-2kg.html,brit-care-cat-senior-weight-control-chicken-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Cat Sensitive Insect & Herring Grain Free,Brit Care Cat Sensitive Insect & Herring Grain Free 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26648-brit-care-cat-sensitive-insect-herring-grain-free-2kg.html,brit-care-cat-sensitive-insect-and-herring-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
