formula_key,brand,formula_name,species,status,missing_fields,evidence_path,duplicate_blocks_skipped,recommended_action,notes
schesir-schesir-fruit-adult-dog-chicken-apple-dog-wet-gr-spreadsheet,Schesir,Schesir Fruit Adult Dog με Κοτόπουλο & Μήλο,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-fruit-adult-dog-chicken-papaya-dog-wet-gr-spreadsheet,Schesir,Schesir Fruit Adult Dog με Κοτόπουλο & Παπάγια,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-dog-chicken-aloe-jelly-dog-wet-gr-spreadsheet,Schesir,Schesir Adult Dog με Κοτόπουλο & Αλόη σε Ζελέ,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-dog-tuna-jelly-dog-wet-gr-spreadsheet,Schesir,Schesir Adult Dog με Τόνο σε Ζελέ,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-dog-fillet-chicken-beef-jelly-dog-wet-gr-spreadsheet,Schesir,Schesir Adult Dog με φιλέτο Κοτόπουλο & Μοσχάρι σε Ζελέ,dog,needs_review,ingredient_text|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-dog-fillet-chicken-ham-jelly-dog-wet-gr-spreadsheet,Schesir,Schesir Adult Dog με φιλέτο Κοτόπουλο & Προσούτο σε Ζελέ,dog,needs_review,ingredient_text|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-dog-fillet-chicken-jelly-dog-wet-gr-spreadsheet,Schesir,Schesir Adult Dog με φιλέτο Κοτόπουλο σε Ζελέ,dog,needs_review,ingredient_text|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-puppy-chicken-aloe-jelly-dog-wet-gr-spreadsheet,Schesir,Schesir Puppy με Κοτόπουλο & Αλόη σε Ζελέ,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-puppy-tuna-aloe-jelly-dog-wet-gr-spreadsheet,Schesir,Schesir Puppy με Τόνο & Αλόη σε Ζελέ,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-fruit-adult-dog-chicken-dog-wet-gr-spreadsheet,Schesir,Schesir Fruit Adult Dog με Κοτόπουλο & Ανανά,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-dog-chicken-dog-wet-gr-spreadsheet,Schesir,Schesir Adult Dog με Κοτόπουλο & Καρότα,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,4,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-dog-tuna-dog-wet-gr-spreadsheet,Schesir,Schesir Adult Dog με Τόνο & Καρότα,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-unica-natura-all-breed-adult-monoprotein-chicken-dog-wet-gr-spreadsheet,Gheda,Unica Natura All Breed Adult Monoprotein Πατέ με Κοτόπουλο,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-unica-natura-all-breed-adult-monoprotein-pork-dog-wet-gr-spreadsheet,Gheda,Unica Natura All Breed Adult Monoprotein Πατέ με Χοιρινό,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-ciuffi-adult-robusto-beef-dog-dry-gr-spreadsheet,Gheda,Ciuffi Adult Robusto με Μοσχάρι,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,1,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-ciuffi-adult-atlentico-chicken-dog-dry-gr-spreadsheet,Gheda,Ciuffi Adult Atlentico με Κοτόπουλο,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-dog-dog-placido-mantenimento-salmon-dog-dry-gr-spreadsheet,Gheda,Dog & Dog Placido Mantenimento με Σολομό,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,1,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-dog-dog-puppy-all-breed-chicken-dog-dry-gr-spreadsheet,Gheda,Dog & Dog Puppy All Breed με Κοτόπουλο,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-dog-dog-select-adult-lamb-dog-dry-gr-spreadsheet,Gheda,Dog & Dog Select Adult με Αρνί,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-dog-dog-top-fish-adult-tuna-dog-dry-gr-spreadsheet,Gheda,Dog & Dog Top Fish Adult με Τόνο,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-dog-dog-tranditional-gustavo-attivo-beef-dog-dry-gr-spreadsheet,Gheda,Dog & Dog Tranditional Gustavo Attivo με Μοσχάρι,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-dog-dog-vitale-energia-adult-chicken-dog-dry-gr-spreadsheet,Gheda,Dog & Dog Vitale Energia Adult με Κοτόπουλο,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,1,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-properform-lupoid-active-adult-type-2-lamb-dog-dry-gr-spreadsheet,Gheda,ProperForm Lupoid Active Adult Type 2 με Αρνί,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-properform-lupoid-active-adult-type-2-chicken-dog-dry-gr-spreadsheet,Gheda,ProperForm Lupoid Active Adult Type 2 με Κοτόπουλο,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-properform-lupoid-nordic-oriental-active-adult-type-2-dog-dry-gr-spreadsheet,Gheda,ProperForm Lupoid Nordic & Oriental Active Adult Type 2 με Ελάφι,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-properform-lupoid-nordic-oriental-active-puppy-type-1-duck-dog-dry-gr-spreadsheet,Gheda,ProperForm Lupoid Nordic & Oriental Active Puppy Type 1 με Πάπια,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-properform-lupoid-puppy-type-1-salmon-dog-dry-gr-spreadsheet,Gheda,ProperForm Lupoid Puppy Type 1 με Σολομό,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-properform-molossoid-active-adult-type-2-chicken-dog-dry-gr-spreadsheet,Gheda,ProperForm Molossoid Active Adult Type 2 με Κοτόπουλο,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-properform-molossoid-puppy-type-1-duck-dog-dry-gr-spreadsheet,Gheda,ProperForm Molossoid Puppy Type 1 με Πάπια,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-properform-toys-active-adult-type-2-lamb-dog-dry-gr-spreadsheet,Gheda,ProperForm Toys Active Adult Type 2 με Αρνί,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
gheda-properform-toys-puppy-type-1-salmon-dog-dry-gr-spreadsheet,Gheda,ProperForm Toys Puppy Type 1 με Σολομό,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-large-chicken-dog-dry-gr-spreadsheet,Schesir,Schesir Adult Large με Κοτόπουλο,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-large-pork-ham-dog-dry-gr-spreadsheet,Schesir,Schesir Adult Large με Χοιρινό Προσούτο,dog,needs_review,ingredient_text|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,1,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-large-maintenance-lamb-dog-dry-gr-spreadsheet,Schesir,Schesir Adult Large Maintenance με Αρνί,dog,needs_review,ingredient_text|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,0,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-puppy-large-chicken-dog-dry-gr-spreadsheet,Schesir,Schesir Puppy Large με Κοτόπουλο,dog,needs_review,ingredient_text|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,1,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-medium-chicken-dog-dry-gr-spreadsheet,Schesir,Schesir Adult Medium με Κοτόπουλο,dog,needs_review,ingredient_text|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,1,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
schesir-schesir-adult-medium-fish-dog-dry-gr-spreadsheet,Schesir,Schesir Adult Medium με Ψάρι,dog,needs_review,ingredient_text|protein_percent|fat_percent|fiber_percent|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Gheda-Schesir Σκύλου (Eshop).xlsx,1,Use this as formula discovery/catalog evidence only; attach official URL or label data before Food V2 preview/commit.,"Spreadsheet has e-shop titles, categorization and descriptions, but not complete ingredient/nutrition panels."
