priority_bucket,priority_score,formula_key,brand,formula_name,species,format,kcal_status,ash_status,mineral_status,feeding_guide_status,duplicate_status,duplicate_match_count,is_recommendable,data_source_url,review_reason
commit_first_after_qa,98,calibra-vet-dog-hepatic-dog-dry-gr-gatoskilo,Calibra,Vet Dog Hepatic,dog,dry,label,label,full,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/19562-calibra-vet-dog-hepatic-2kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|full_minerals|feeding_guide
commit_first_after_qa,98,hills-hill-s-pd-canine-metabolic-mobility-weight-and-joint-care-με-κοτοπουλο-dog-dry-gr-gatoskilo,Hills,Hill's PD Canine Metabolic Mobility Weight & Joint Care με Κοτόπουλο,dog,dry,label,label,full,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/17723-hill-s-pd-canine-metabolic-mobility-weight-joint-care-me-kotopoulo-12kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|full_minerals|feeding_guide
commit_first_after_qa,98,hills-hill-s-pd-canine-r-d-weight-reduction-dog-dry-gr-gatoskilo,Hills,Hill's PD Canine r/d Weight Reduction,dog,dry,label,label,full,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/18566-hill-s-pd-canine-r-d-weight-reduction-10kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|full_minerals|feeding_guide
commit_first_after_qa,98,ownat-just-dog-adult-grain-free-κοτοπουλο-dog-dry-gr-gatoskilo,Ownat,Just Dog Adult Grain Free Κοτόπουλο,dog,dry,label,label,full,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/18587-ownat-just-dog-adult-grain-free-kotopoulo-14kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|full_minerals|feeding_guide
commit_first_after_qa,98,pro-nutrition-flatazor-pro-nutrition-prestige-flatazor-adult-δωρο-dog-dry-gr-gatoskilo,Pro-Nutrition (Flatazor),Pro-Nutrition Prestige (Flatazor) Adult + ΔΩΡΟ,dog,dry,label,label,full,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/30140-pro-nutrition-prestige-flatazor-adult-14kg-25kg-doro.html,label_kcal|ingredients_present|core_analysis_present|label_ash|full_minerals|feeding_guide
commit_first_after_qa,98,pro-nutrition-flatazor-pro-nutrition-prestige-flatazor-adult-mini-dog-dry-gr-gatoskilo,Pro-Nutrition (Flatazor),Pro-Nutrition Prestige (Flatazor) Adult Mini,dog,dry,label,label,full,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/23031-flatazor-prestige-adult-mini-8kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|full_minerals|feeding_guide
commit_first_after_qa,98,purina-pro-plan-veterinary-diets-dog-ur-urinary-dog-dry-gr-gatoskilo,Purina Pro Plan,Veterinary Diets Dog UR Urinary,dog,dry,label,label,full,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/10371-purina-pro-plan-veterinary-diets-dog-ur-urinary-12kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|full_minerals|feeding_guide
commit_first_after_qa,98,trovet-dog-urinary-struvite-dog-dry-gr-gatoskilo,Trovet,Dog Urinary Struvite,dog,dry,label,label,full,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/14477-trovet-dog-urinary-struvite-125kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|full_minerals|feeding_guide
commit_first_after_qa,94,acana-adult-dog-dry-gr-gatoskilo,Acana,Adult,dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/2886-acana-adult-114kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
commit_first_after_qa,94,acana-grass-fed-lamb-dog-dry-gr-gatoskilo,Acana,Grass Fed Lamb,dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/4260-acana-grass-fed-lamb-114kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
commit_first_after_qa,94,acana-puppy-dog-dry-gr-gatoskilo,Acana,Puppy,dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/2880-acana-puppy-114kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
commit_first_after_qa,94,acana-ranchlands-dog-dry-gr-gatoskilo,Acana,Ranchlands,dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/4676-acana-ranchlands-2kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
commit_first_after_qa,94,acana-sport-and-agility-dog-dry-gr-gatoskilo,Acana,Sport & Agility,dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/4321-acana-sport-agility-114kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
commit_first_after_qa,94,acana-yorkshire-pork-dog-dry-gr-gatoskilo,Acana,Yorkshire Pork,dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/4263-acana-yorkshire-pork-114kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
commit_first_after_qa,94,ambrosia-grain-free-adult-chicken-and-vegies-dog-dry-gr-gatoskilo,Ambrosia,Grain Free Adult Chicken & Vegies,dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/12768-ambrosia-grain-free-adult-chicken-vegies-12kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
commit_first_after_qa,94,ambrosia-grain-free-adult-mini-chicken-and-salmon-dog-dry-gr-gatoskilo,Ambrosia,Grain Free Adult Mini Chicken & Salmon,dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/14040-ambrosia-grain-free-adult-mini-chicken-salmon-2kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
commit_first_after_qa,94,ambrosia-grain-free-puppy-large-chicken-and-salmon-dog-dry-gr-gatoskilo,Ambrosia,Grain Free Puppy Large Chicken & Salmon,dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/18439-ambrosia-grain-free-puppy-large-chicken-salmon-2kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
commit_first_after_qa,94,ambrosia-holistic-adult-chicken-and-fresh-salmon-dog-dry-gr-gatoskilo,Ambrosia,Holistic Adult Chicken & Fresh Salmon,dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/4273-ambrosia-holistic-adult-chicken-fresh-salmon-12kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
commit_first_after_qa,94,ambrosia-holistic-grain-free-puppy-regular-chicken-and-fresh-fish-dog-dry-gr-gatoskilo,Ambrosia,Holistic Grain Free Puppy Regular Chicken & Fresh Fish,dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/4270-ambrosia-holistic-grain-free-puppy-regular-chicken-fresh-fish-2kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
commit_first_after_qa,94,ambrosia-holistic-senior-light-sterilised-turkey-and-salmon-dog-dry-gr-gatoskilo,Ambrosia,"Holistic Senior, Light, Sterilised Turkey & Salmon",dog,dry,label,label,partial,present,no_known_duplicate,0,false,https://www.gatoskilo.gr/ksira-trofi-skyloy/7526-ambrosia-holistic-senior-light-sterilised-turkey-salmon-2kg.html,label_kcal|ingredients_present|core_analysis_present|label_ash|partial_minerals|feeding_guide
