formula_key,brand,formula_name,species,format,status,missing_fields,evidence_path,duplicate_blocks_skipped,recommended_action,notes
viozois-be-doo-adult-dog-με-κοτοπουλο-dog-dry-gr-spreadsheet,Viozois,Be Doo Adult Dog με Κοτόπουλο,dog,dry,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Mixed dog/cat e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
gemon-gemon-light-adult-με-κοτοπουλο-ρυζι-dog-dry-gr-spreadsheet,Gemon,Gemon Light Adult με Κοτόπουλο & Ρύζι,dog,dry,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Mixed dog/cat e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
movex-daily-habits-angel-rescue-με-μοσχαρι-dog-dry-gr-spreadsheet,Movex,Daily Habits Angel Rescue με Μοσχάρι,dog,dry,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Mixed dog/cat e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
viozois-viozois-dog-4-adult-dog-με-κοτοπουλο-dog-dry-gr-spreadsheet,Viozois,Viozois Dog 4 Adult dog με Κοτόπουλο,dog,dry,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Mixed dog/cat e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
gemon-gemon-adult-mini-με-σολομο-ρυζι-dog-dry-gr-spreadsheet,Gemon,Gemon Adult Mini με Σολομό & Ρύζι,dog,dry,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|protein_percent|fat_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Mixed dog/cat e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
movex-daily-habits-angel-rescue-με-κοτοπουλο-dog-dry-gr-spreadsheet,Movex,Daily Habits Angel Rescue με Κοτόπουλο,dog,dry,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Mixed dog/cat e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
nature-s-food-barf-breeder-s-raw-boost-simple-με-κοτοπουλο-dog-raw-gr-spreadsheet,Nature's Food,Barf Breeder's Raw Boost Simple με Κοτόπουλο,dog,raw,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|protein_percent|fat_percent|fiber_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Mixed dog/cat e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
gemon-gemon-adult-mini-με-κοτοπουλο-ρυζι-dog-dry-gr-spreadsheet,Gemon,Gemon Adult Mini με Κοτόπουλο & Ρύζι,dog,dry,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Mixed dog/cat e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
viozois-viozois-dog-1-adult-dog-με-κοτοπουλο-dog-dry-gr-spreadsheet,Viozois,Viozois Dog 1 Adult dog με Κοτόπουλο,dog,dry,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,0,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Mixed dog/cat e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
ambrosia-pet-food-ambrosia-senior-light-sterilized-με-γαλοπουλα-φρεσκο-σολομο-dog-dry-gr-spreadsheet,Ambrosia Pet Food,Ambrosia Senior Light & Sterilized με Γαλοπούλα & Φρέσκο Σολομό,dog,dry,needs_review,data_source_url_or_official_evidence|fiber_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,1,"Attach official URL or label photo, verify extracted nutrients/ingredients, then preview in Food V2 before commit.",Mixed dog/cat e-shop spreadsheet extraction; rows stay in review because provenance is uploaded spreadsheet only.
