formula_key,brand,formula_name,species,format,status,source_file,extracted_fields,missing_fields,recommended_action,notes
artu-adult-with-beef-dog-dry-eu-pdf,Artu,Adult with Beef,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Antu-Adult-Dog-With-Beef-EN.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Antu-Adult-Dog-With-Beef-EN.pdf; human_qa_required_before_recommendation=true
artu-adult-with-chicken-dog-dry-eu-pdf,Artu,Adult with Chicken,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Antu-Adult-Dog-With-Chicken-EN.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Antu-Adult-Dog-With-Chicken-EN.pdf; human_qa_required_before_recommendation=true
monge-bwild-bwild-grain-free-all-breeds-adult-anchovies-with-potatoes-and-peas-dog-dry-eu-pdf,Monge BWild,BWild Grain Free All Breeds Adult Anchovies With Potatoes and Peas,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Grain-Free-Formula-All-Breeds-Adult-Dog-Ancho-vies-with-potatoes-and-peas-1.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|omega3_percent|omega6_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Grain-Free-Formula-All-Breeds-Adult-Dog-Ancho-vies-with-potatoes-and-peas-1.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=30; default_moisture_percent=10; kcal_estimation_confidence=medium
monge-bwild-bwild-grain-free-all-breeds-adult-salmon-with-peas-dog-dry-eu-pdf,Monge BWild,BWild Grain Free All Breeds Adult Salmon With Peas,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Grain-Free-Formula-All-Breeds-Adult-Dog-Sal-mon-with-peas.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|omega3_percent|omega6_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Grain-Free-Formula-All-Breeds-Adult-Dog-Sal-mon-with-peas.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=33.8; default_moisture_percent=10; kcal_estimation_confidence=medium
monge-bwild-bwild-grain-free-all-breeds-duck-with-potatoes-dog-dry-eu-pdf,Monge BWild,BWild Grain Free All Breeds Duck With Potatoes,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Grain-Free-Formula-All-Breeds-Dog-Duck-with-potatoes.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|omega3_percent|omega6_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Grain-Free-Formula-All-Breeds-Dog-Duck-with-potatoes.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=30.5; default_moisture_percent=10; kcal_estimation_confidence=medium
monge-bwild-bwild-grain-free-all-breeds-lamb-with-potatoes-and-peas-dog-dry-eu-pdf,Monge BWild,BWild Grain Free All Breeds Lamb With Potatoes and Peas,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Grain-Free-Formula-All-Breeds-Dog-Lamb-with-potatoes-and-peas.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|omega3_percent|omega6_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Grain-Free-Formula-All-Breeds-Dog-Lamb-with-potatoes-and-peas.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=35.8; default_moisture_percent=10; kcal_estimation_confidence=medium
monge-bwild-bwild-low-grain-all-breeds-adult-deer-dog-dry-eu-pdf,Monge BWild,BWild Low Grain All Breeds Adult Deer,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Low-Grain-All-Breeds-Adult-Dog-Deer.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Low-Grain-All-Breeds-Adult-Dog-Deer.pdf; human_qa_required_before_recommendation=true
monge-bwild-bwild-low-grain-all-breeds-adult-goose-dog-dry-eu-pdf,Monge BWild,BWild Low Grain All Breeds Adult Goose,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Low-Grain-All-Breeds-Adult-Dog-Goose.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Low-Grain-All-Breeds-Adult-Dog-Goose.pdf; human_qa_required_before_recommendation=true
monge-bwild-bwild-low-grain-all-breeds-adult-wild-boar-dog-dry-eu-pdf,Monge BWild,BWild Low Grain All Breeds Adult Wild Boar,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Low-Grain-All-Breeds-Adult-Dog-Wild-Boar.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Low-Grain-All-Breeds-Adult-Dog-Wild-Boar.pdf; human_qa_required_before_recommendation=true
monge-bwild-bwild-low-grain-all-breeds-puppy-and-junior-deer-dog-dry-eu-pdf,Monge BWild,BWild Low Grain All Breeds Puppy and Junior Deer,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Low-Grain-All-Breeds-Puppy-and-Junior-Deer.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/BWild-Low-Grain-All-Breeds-Puppy-and-Junior-Deer.pdf; human_qa_required_before_recommendation=true
