source_sheet,source_code,source_description,formula_name,brand,species,format,life_stage,size_class,category_tags,quantity,value,revenue_share_percent,pareto_percent,formula_key_guess,has_eshop_title,has_eshop_detail,review_priority,recommended_action,source_document
Sheet1,050020,ΞΗΡΑ.ΣΚ PROPER LUPOID ADULT ACTIVE TYPE 2 CHICKEN,PROPER LUPOID ADULT ACTIVE TYPE 2 CHICKEN,Gheda,dog,dry,adult,medium,SUPER PREMIUM;MAINTENANCE,3286.57,7056.78,0.0263,0.0606,gheda-proper-lupoid-adult-active-type-2-chicken-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050026,ΞΗΡΑ.ΣΚ PROPER BRACCOID ADULT ACTIVE TYPE 2 LAMB,PROPER BRACCOID ADULT ACTIVE TYPE 2 LAMB,Gheda,dog,dry,adult,medium,SUPER PREMIUM;MAINTENANCE,2686.19,5431.89,0.0203,0.0808,gheda-proper-braccoid-adult-active-type-2-lamb-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050057,ΞΗΡΑ ΤΡΟΦΗ.Γ ENJOY ADULT MULTICOLOR ΚΟΤΟΠΟΥΛΟ,ENJOY ADULT MULTICOLOR ΚΟΤΟΠΟΥΛΟ,Enjoy,cat,dry,adult,,,3477.39,6014.62,0.038,0.1498,enjoy-enjoy-adult-multicolor-κοτοπουλο-cat-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017421,ΞΗΡΑ.ΣΚ Schesir Small Puppy Chicken & Rice 2kg,Schesir Small Puppy Chicken & Rice,Schesir,dog,dry,puppy,,,128,1454.9,0.0054,0.3909,schesir-schesir-small-puppy-chicken-rice-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,010950,ROYAL CAT POUCH VHN GASTROINTESTINAL SLICES IN GRAVY S/O 85gr,ROYAL CAT POUCH VHN GASTROINTESTINAL SLICES IN GRAVY S/O,Royal Canin,cat,wet,,,,1423,1412.38,0.0158,0.3947,royal-canin-royal-cat-pouch-vhn-gastrointestinal-slices-in-gravy-s-o-cat-wet-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050100,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ REFLEX PLUS MEDIUM/LARGE LIGHT & STERILITY ADULT LAMB,Reflex Plus Medium/Large Adult Light & STERILITY με Αρνί,Reflex,dog,dry,adult,medium,PREMIUM;STERILITY;LOW FAT/LIGHT,619.29,1318.18,0.0049,0.4221,reflex-reflex-plus-medium-large-adult-light-sterility-με-αρνι-dog-dry-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050104,ΞΗΡΑ ΤΡΟΦΗ.Γ 3P COCTAIL,3P COCTAIL,3p,cat,dry,,,,977.95,1173.75,0.0074,0.4332,3p-3p-coctail-cat-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017113,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ ROYAL VHN SENSITIVITY CONTROL DOG 14kg,ROYAL VHN SENSITIVITY CONTROL DOG,Royal Canin,dog,dry,,,,14,1133.55,0.0126,0.4367,royal-canin-royal-vhn-sensitivity-control-dog-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,018582,ΞΗΡΑ.ΣΚ DOG & DOG Traditional Gustavo Attivo Beef 20kg,DOG & DOG Traditional Gustavo Attivo Beef,Dog & Dog,dog,dry,,,,48,1251.13,0.0047,0.4409,dog-dog-dog-dog-traditional-gustavo-attivo-beef-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017276,ΞΗΡΑ ΤΡΟΦΗ.Γ ROYAL VHN URINARY S/O CAT 1.5kg,ROYAL VHN URINARY S/O CAT,Royal Canin,cat,dry,,,,61,979.12,0.0109,0.5065,royal-canin-royal-vhn-urinary-s-o-cat-cat-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017692,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ PRESTIGE ADULT 15+3kg,Prestige Adult Dog + Δώρο,Flatazor,dog,dry,adult,all,SUPER PREMIUM;MAINTENANCE,23,986.33,0.0037,0.5102,flatazor-prestige-adult-dog-δωρο-dog-dry-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
