formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
acana-classic-red-meat-dog-dry-gr-retailer,ACANA,Classic Red Meat,dog,importable_after_qa,https://www.petshop88.gr/acana-classic-red-2kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|glucosamine_mgkg|chondroitin_mgkg|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
acana-classic-red-meat-dog-dry-gr-retailer,ACANA,Classic Red Meat,dog,duplicate_pack_variant,https://www.petshop88.gr/acana-classic-red-meat-9-7kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|glucosamine_mgkg|chondroitin_mgkg|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,Skipped from import CSV because Food V2 is formula-level; keep pack-size evidence in source registry.
acana-prairie-poultry-dog-dry-gr-retailer,ACANA,Prairie Poultry,dog,importable_after_qa,https://www.petshop88.gr/acana-prairie-poultry-2kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|glucosamine_mgkg|chondroitin_mgkg|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
acana-prairie-poultry-dog-dry-gr-retailer,ACANA,Prairie Poultry,dog,duplicate_pack_variant,https://www.petshop88.gr/acana-prairie-poultry-9-7kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|dha_percent|epa_percent|taurine_mgkg|glucosamine_mgkg|chondroitin_mgkg|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,Skipped from import CSV because Food V2 is formula-level; keep pack-size evidence in source registry.
acana-wild-coast-dog-dry-gr-retailer,ACANA,Wild Coast,dog,needs_backfill,https://www.petshop88.gr/acana-wild-coast-2kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|kcal_per_100g|kcal_per_kg|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
acana-wild-coast-dog-dry-gr-retailer,ACANA,Wild Coast,dog,duplicate_pack_variant,https://www.petshop88.gr/acana-wild-coast-9-7kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|kcal_per_100g|kcal_per_kg|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,Skipped from import CSV because Food V2 is formula-level; keep pack-size evidence in source registry.
ambrosia-grain-free-adult-large-turkey-chicken-dog-dry-gr-retailer,Ambrosia,Grain Free Adult Large Turkey & Chicken,dog,needs_backfill,https://www.petshop88.gr/ambrosia-grain-free-adult-large-turkey-and-chicken-12kg-2kg-doro,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
ambrosia-grain-free-adult-turkey-duck-dog-dry-gr-retailer,Ambrosia,Grain Free Adult Turkey & Duck,dog,needs_backfill,https://www.petshop88.gr/ambrosia-grain-free-adult-turkey-and-duck-12kg-2kg-doro,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
ambrosia-grain-free-adult-turkey-duck-dog-dry-gr-retailer,Ambrosia,Grain Free Adult Turkey & Duck,dog,duplicate_pack_variant,https://www.petshop88.gr/ambrosia-grain-free-adult-turkey-and-duck-2kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,Skipped from import CSV because Food V2 is formula-level; keep pack-size evidence in source registry.
hill-s-science-plan-mature-adult-7-small-mini-για-σκυλους-με-κοτοπουλο-ημ-ληξης-6-2026-dog-dry-gr-retailer,Hill's,Science Plan Mature Adult 7+ Small & Mini Για Σκύλους Με Κοτόπουλο (Ημ Λήξης 6/2026),dog,needs_backfill,https://www.petshop88.gr/hill-s-science-plan-mature-adult-7-small-and-mini-gia-skuloys-me-kotopoylo-1-5kg-im-lixis-6-2026,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent|kcal_per_100g,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
