formula_key,brand,formula_name,species,format,status,source_file,extracted_fields,missing_fields,recommended_action,notes
prestige-puppy-mini-dog-dry-eu-pdf,Prestige,Puppy Mini,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,ingredient_text|ingredients,Use this as nutrient backfill evidence only. Attach ingredient/composition source before Food V2 commit.,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf
prestige-adult-mini-dog-dry-eu-pdf,Prestige,Adult Mini,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,ingredient_text|ingredients,Use this as nutrient backfill evidence only. Attach ingredient/composition source before Food V2 commit.,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf
prestige-adult-8-mini-dog-dry-eu-pdf,Prestige,Adult 8+ Mini,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,ingredient_text|ingredients,Use this as nutrient backfill evidence only. Attach ingredient/composition source before Food V2 commit.,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf
prestige-adult-mini-light-sterilised-dog-dry-eu-pdf,Prestige,Adult Mini Light Sterilised,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|medical_tags|commercial_tags|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,ingredient_text|ingredients,Use this as nutrient backfill evidence only. Attach ingredient/composition source before Food V2 commit.,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf
prestige-puppy-medium-dog-dry-eu-pdf,Prestige,Puppy Medium,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,ingredient_text|ingredients,Use this as nutrient backfill evidence only. Attach ingredient/composition source before Food V2 commit.,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf
prestige-adult-medium-dog-dry-eu-pdf,Prestige,Adult Medium,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,ingredient_text|ingredients,Use this as nutrient backfill evidence only. Attach ingredient/composition source before Food V2 commit.,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf
prestige-adult-medium-maxi-light-sterilised-dog-dry-eu-pdf,Prestige,Adult Medium Maxi Light Sterilised,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|medical_tags|commercial_tags|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,ingredient_text|ingredients,Use this as nutrient backfill evidence only. Attach ingredient/composition source before Food V2 commit.,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf
prestige-puppy-maxi-dog-dry-eu-pdf,Prestige,Puppy Maxi,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,ingredient_text|ingredients,Use this as nutrient backfill evidence only. Attach ingredient/composition source before Food V2 commit.,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf
prestige-adult-maxi-dog-dry-eu-pdf,Prestige,Adult Maxi,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,ingredient_text|ingredients,Use this as nutrient backfill evidence only. Attach ingredient/composition source before Food V2 commit.,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf
prestige-adult-6-maxi-dog-dry-eu-pdf,Prestige,Adult 6+ Maxi,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,ingredient_text|ingredients,Use this as nutrient backfill evidence only. Attach ingredient/composition source before Food V2 commit.,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf
prestige-adult-all-sizes-appetit-difficile-dog-dry-eu-pdf,Prestige,Adult All Sizes Appetit Difficile,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|vitamin_a_iukg|vitamin_d3_iukg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,ingredient_text|ingredients,Use this as nutrient backfill evidence only. Attach ingredient/composition source before Food V2 commit.,market=EU; basis=as-fed; source_tier=official_pdf; source_group=sopral_prestige_pdf_analytic_table; analytic_table_only=true; composition_missing_from_pdf_text=true; vitamin_e_source_unit=UI/kg; human_qa_required_before_recommendation=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/SOPRAL_Prestige_Brochure_Chien_BAT.pdf
