brand,species,formula_name_guess,source_group,product_url,product_title,recommended_action,notes
Purina Cat Chow,cat,CAT CHOW® ADULT Kοτόπουλο & Γαλοπούλα,cat chow,https://www.purina.gr/cat/cat-food/product-chow-dry-adult-chicken-and-turkey,CAT CHOW® ADULT Kοτόπουλο & Γαλοπούλα,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Cat Chow,cat,CAT CHOW® FELINE 3IN1,cat chow,https://www.purina.gr/cat/cat-food/product-chow-feline-3in1-dry-adult-chicken,CAT CHOW® FELINE 3IN1,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Cat Chow,cat,CAT CHOW® HAIRBALL CONTROL,cat chow,https://www.purina.gr/cat/cat-food/product-chow-hairball-control-dry-adult-chicken,CAT CHOW® HAIRBALL CONTROL,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Cat Chow,cat,CAT CHOW® KITTEN Κοτόπουλο,cat chow,https://www.purina.gr/cat/cat-food/product-chow-dry-kitten-chicken,CAT CHOW® KITTEN Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Cat Chow,cat,CAT CHOW® STERILISED Γαλοπούλα,cat chow,https://www.purina.gr/cat/cat-food/product-chow-sterilised-dry-adult-turkey,CAT CHOW® STERILISED Γαλοπούλα,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Cat Chow,cat,CAT CHOW® STERILISED Κοτόπουλο,cat chow,https://www.purina.gr/cat/cat-food/product-chow-sterilised-dry-adult-chicken,CAT CHOW® STERILISED Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Cat Chow,cat,CAT CHOW® URINARY TRACT HEALTH,cat chow,https://www.purina.gr/cat/cat-food/product-chow-urinary-tract-health-dry-adult-chicken,CAT CHOW® URINARY TRACT HEALTH,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,cat,PRO PLAN® Adult Renal plus Cat Κοτόπουλο,pro plan cat,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-adult-renal-plus-chicken,PRO PLAN® Adult Renal plus Cat Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,cat,PRO PLAN® LIGHT Cat Γαλοπούλα,pro plan cat,https://www.purina.gr/cat/cat-food/product-proplan-light-dry-vital-turkey,PRO PLAN® LIGHT Cat Γαλοπούλα,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,cat,PRO PLAN® Skin and Coat+ Συμπλήρωμα Διατροφής για Γάτες σε μορφή Λαδιού,pro plan cat,https://www.purina.gr/cat/cat-food/product-proplan-supplements-skin-and-coat-plus,PRO PLAN® Skin and Coat+ Συμπλήρωμα Διατροφής για Γάτες σε μορφή Λαδιού,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.","Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
Purina Pro Plan,cat,PRO PLAN® STERILISED Μπακαλιάρος και Πέστρορφα,pro plan cat,https://www.purina.gr/cat/cat-food/product-proplan-savoury-duo-sterilised-dry-cod-trout,PRO PLAN® STERILISED Μπακαλιάρος και Πέστρορφα,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,cat,PRO PLAN® STERILISED Renal Plus Cat Κουνέλι,pro plan cat,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-renal-plus-rabbit,PRO PLAN® STERILISED Renal Plus Cat Κουνέλι,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
