priority,gap_score,display_name,species,format,life_stage,source_priority,formula_key,missing_blockers,estimated_fields_to_replace,missing_helpful_fields,health_context,recommended_evidence,next_action,data_source_url
high,140,Royal Canin Vet Diet Dog Urinary UC Low P 2kg,dog,dry,,retailer,royal-canin-vet-diet-dog-urinary-uc-low-p-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,urinary,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/22296-royal-canin-vet-diet-dog-urinary-uc-low-p-2kg.html
high,120,Royal Canin Maxi Puppy 3kg,dog,dry,puppy,retailer,royal-canin-maxi-puppy-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,,moisture_percent|sodium_percent|magnesium_percent|omega6_percent|epa_percent|epa_dha_percent,puppy,official_pdf_or_label_photo_with_analytical_constituents,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/ksira-trofi-skyloy/29523-royal-canin-maxi-puppy-3kg.html
high,120,Royal Canin Medium Puppy 3kg,dog,dry,puppy,retailer,royal-canin-medium-puppy-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,,moisture_percent|sodium_percent|magnesium_percent|omega6_percent|epa_percent|epa_dha_percent,puppy,official_pdf_or_label_photo_with_analytical_constituents,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/ksira-trofi-skyloy/29518-royal-canin-medium-puppy-3kg.html
high,114,Royal Canin Vet Diet Puppy GastroIntestinal 1kg,dog,dry,puppy,retailer,royal-canin-vet-diet-puppy-gastrointestinal-dog-dry-gr-gatoskilo,phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|magnesium_percent|epa_percent|dha_percent|epa_dha_percent,puppy,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/22255-royal-canin-vet-diet-puppy-gastrointestinal-1kg.html
high,106,Royal Canin Vet Diet Small Dog Renal 1.5kg,dog,dry,,retailer,royal-canin-vet-diet-small-dog-renal-dog-dry-gr-gatoskilo,calcium_percent,kcal_per_100g|moisture_percent,moisture_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent,renal,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/22271-royal-canin-vet-diet-small-dog-renal-15kg.html
high,100,Royal Canin Vet Diet Dog Anallergenic 3kg,dog,dry,,retailer,royal-canin-vet-diet-dog-anallergenic-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/22230-royal-canin-vet-diet-dog-anallergenic-3kg.html
high,100,Royal Canin Vet Diet Dog Hypoallergenic 2kg,dog,dry,,retailer,royal-canin-vet-diet-dog-hypoallergenic-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/22236-royal-canin-vet-diet-dog-hypoallergenic-2kg.html
high,100,Royal Canin Vet Diet Dog Hypoallergenic Moderate Calorie 14kg,dog,dry,,retailer,royal-canin-vet-diet-dog-hypoallergenic-moderate-calorie-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent|epa_dha_percent,,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/22239-royal-canin-vet-diet-dog-hypoallergenic-moderate-calorie-14kg.html
high,96,Royal Canin Vet Diet Dog GastroIntestinal High Fibre 2kg,dog,dry,,retailer,royal-canin-vet-diet-dog-gastrointestinal-high-fibre-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent,,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/22250-royal-canin-vet-diet-dog-gastrointestinal-high-fibre-2kg.html
high,96,Royal Canin Vet Diet Small Dog Skin Care 2kg,dog,dry,,retailer,royal-canin-vet-diet-small-dog-skin-care-dog-dry-gr-gatoskilo,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,moisture_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|epa_percent|dha_percent,,official_page_pdf_or_label_photo_with_energy,Do not mark as confidently recommendable until blockers or context-critical fields are resolved.,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/22247-royal-canin-vet-diet-small-dog-skin-care-2kg.html
