priority,formula_key,brand,formula_name,species,open_gap_groups,critical_missing_fields,next_best_action,evidence_path,status,notes
high,royal-canin-digestive-care-cat-dry-gr-photo,Royal Canin,Digestive Care,cat,core_nutrition|identity_and_barcode|minerals,barcode_or_ean|kcal_per_100g_or_kcal_per_kg|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-hair-skin-care-cat-dry-gr-photo,Royal Canin,Hair & Skin Care,cat,core_nutrition|identity_and_barcode|minerals,barcode_or_ean|kcal_per_100g_or_kcal_per_kg|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult hair & skin care cat,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-hairball-care-cat-dry-gr-photo,Royal Canin,Hairball Care,cat,core_nutrition|identity_and_barcode|minerals,barcode_or_ean|kcal_per_100g_or_kcal_per_kg|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult hairball care cat,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-savour-exigent-cat-dry-gr-photo,Royal Canin,Savour Exigent,cat,core_nutrition|identity_and_barcode|minerals,barcode_or_ean|kcal_per_100g_or_kcal_per_kg|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult savour exigent cat,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-urinary-care-cat-dry-gr-photo,Royal Canin,Urinary Care,cat,core_nutrition|identity_and_barcode|minerals,barcode_or_ean|kcal_per_100g_or_kcal_per_kg|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult urinary care cat,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-bulldog-puppy-dog-dry-gr-photo,Royal Canin,Bulldog Puppy,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal bulldog puppy,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-photo,Royal Canin,Cavalier King Charles Puppy,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal cavalier king charles puppy,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-chihuahua-adult-dog-dry-gr-photo,Royal Canin,Chihuahua Adult,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua adult,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-chihuahua-puppy-dog-dry-gr-photo,Royal Canin,Chihuahua Puppy,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua puppy,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-french-bulldog-adult-dog-dry-gr-photo,Royal Canin,French Bulldog Adult,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog adult,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-french-bulldog-puppy-dog-dry-gr-photo,Royal Canin,French Bulldog Puppy,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog puppy,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-giant-adult-dog-dry-gr-photo,Royal Canin,Giant Adult,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal giant adult,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-dog-dry-gr-photo,Royal Canin,Maxi Adult,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-ageing-8-dog-dry-gr-photo,Royal Canin,Maxi Adult Ageing 8+,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult ageing 8+,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-light-weight-care-dog-dry-gr-photo,Royal Canin,Maxi Adult Light Weight Care,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult light weight care,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-sterilised-dog-dry-gr-photo,Royal Canin,Maxi Adult Sterilised,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult sterilised,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-medium-adult-dog-dry-gr-photo,Royal Canin,Medium Adult,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-medium-adult-ageing-7-dog-dry-gr-photo,Royal Canin,Medium Adult Ageing 7+,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult ageing 7+,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-medium-adult-sterilised-dog-dry-gr-photo,Royal Canin,Medium Adult Sterilised,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult sterilised,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-dog-dry-gr-photo,Royal Canin,Mini Adult,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-ageing-12-dog-dry-gr-photo,Royal Canin,Mini Adult Ageing 12+,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 12+,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-ageing-8-dog-dry-gr-photo,Royal Canin,Mini Adult Ageing 8+,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 8+,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-coat-care-dog-dry-gr-photo,Royal Canin,Mini Adult Coat Care,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult coat care,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-digestive-care-dog-dry-gr-photo,Royal Canin,Mini Adult Digestive Care,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult digestive care,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
