formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
royal-canin-pomeranian-adult-dog-dry-gr-official,Royal Canin,Pomeranian Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/pomeranian-adult-1255,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Pomeranian; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-starter-mother-babydog-maxi-dog-dry-gr-official,Royal Canin,STARTER Mother & Babydog - MAXI,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/starter-mother-%26-babydog---maxi-2994,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-starter-mother-babydog-medium-dog-dry-gr-official,Royal Canin,STARTER Mother & Babydog - MEDIUM,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/starter-mother-%26-babydog---medium-2993,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-starter-mother-babydog-mini-dog-dry-gr-official,Royal Canin,STARTER Mother & Babydog - MINI,dog,hold,https://www.royalcanin.com/gr/dogs/products/retail-products/starter-mother-%26-babydog---mini-2990,ingredient_text|kcal_per_100g|kcal_per_kg,protein_percent|fat_percent|fiber_percent,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-puppy-medium-dog-dry-gr-official,Royal Canin,PUPPY - MEDIUM,dog,hold,https://www.royalcanin.com/gr/dogs/products/retail-products/puppy---medium-3003,kcal_per_100g|kcal_per_kg,ingredient_text|protein_percent|fat_percent|fiber_percent,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-puppy-mini-dog-dry-gr-official,Royal Canin,PUPPY - MINI,dog,hold,https://www.royalcanin.com/gr/dogs/products/retail-products/puppy---mini-3000,ingredient_text|kcal_per_100g|kcal_per_kg,protein_percent|fat_percent|fiber_percent,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-puppy-x-small-dog-dry-gr-official,Royal Canin,PUPPY - X-SMALL,dog,hold,https://www.royalcanin.com/gr/dogs/products/retail-products/puppy---x-small-1002,ingredient_text|kcal_per_100g|kcal_per_kg,protein_percent|fat_percent|fiber_percent,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-puppy-maxi-dog-dry-gr-official,Royal Canin,PUPPY - MAXI,dog,hold,https://www.royalcanin.com/gr/dogs/products/retail-products/puppy---maxi-3006,ingredient_text|kcal_per_100g|kcal_per_kg,protein_percent|fat_percent|fiber_percent,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-puppy-giant-dog-dry-gr-official,Royal Canin,PUPPY - GIANT,dog,hold,https://www.royalcanin.com/gr/dogs/products/retail-products/puppy---giant-3030,ingredient_text|kcal_per_100g|kcal_per_kg,protein_percent|fat_percent|fiber_percent,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-junior-giant-dog-dry-gr-official,Royal Canin,JUNIOR - GIANT,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/junior---giant-3031,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-x-small-light-weight-care-dog-dry-gr-official,Royal Canin,X-Small Light Weight Care,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/x-small-light-weight-care-1230,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Any; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
