formula_guess,species_guess,folder_path,file_name,panel_guess,sort_order,file_size_bytes,review_action
Royal Canin adult digestive care cat,cat,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,017260-1.jpg,benefits_or_claims,1,246561,Use as supporting evidence only.
Royal Canin adult digestive care cat,cat,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,017260-2.jpg,kibble_or_detail,2,180959,Use as supporting evidence only.
Royal Canin adult digestive care cat,cat,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,017260-3.jpg,pack_front_or_range,3,255417,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin adult digestive care cat,cat,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,017260-4.jpg,feeding_guide,4,158628,Open for feeding table; check whether calories or pack weight are visible.
Royal Canin adult digestive care cat,cat,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,017260-5.jpg,analysis_and_composition,5,269867,Open first for ingredients and analytical constituents transcription.
Royal Canin adult digestive care cat,cat,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,017260-6.jpg,pack_front,6,299814,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin adult digestive care cat,cat,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,017260.png,product_image,99,1830073,Use as supporting evidence only.
Royal Canin adult hair & skin care cat,cat,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult hair & skin care cat,017247-1.jpg,benefits_or_claims,1,262653,Use as supporting evidence only.
Royal Canin adult hair & skin care cat,cat,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult hair & skin care cat,017247-2.jpg,kibble_or_detail,2,175184,Use as supporting evidence only.
Royal Canin adult hair & skin care cat,cat,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult hair & skin care cat,017247-3.jpg,pack_front_or_range,3,258897,"Open for formula identity, species, life stage, and pack artwork confirmation."
