formula_key,brand,formula_name,species,status,missing_fields,evidence_path,duplicate_blocks_skipped,recommended_action,notes
sams-field-sam-s-field-adult-chicken-medium-dog-dry-gr-document,Sam's Field,Sam's Field Adult Chicken Medium,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Sam's Field.οκ.docx,1,"Attach official Sam's Field URL, backfill kcal/ME plus sodium/magnesium if available, then preview in Food V2 before commit.",Document extraction collapses pack sizes to formula-level rows. Keep in review until source provenance is linked.
sams-field-sam-s-field-adult-grain-free-beef-dog-dry-gr-document,Sam's Field,Sam's Field Adult Grain Free Beef,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Sam's Field.οκ.docx,1,"Attach official Sam's Field URL, backfill kcal/ME plus sodium/magnesium if available, then preview in Food V2 before commit.",Document extraction collapses pack sizes to formula-level rows. Keep in review until source provenance is linked.
sams-field-sam-s-field-adult-grain-free-salmon-herring-dog-dry-gr-document,Sam's Field,Sam's Field Adult Grain Free Salmon & Herring,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Sam's Field.οκ.docx,1,"Attach official Sam's Field URL, backfill kcal/ME plus sodium/magnesium if available, then preview in Food V2 before commit.",Document extraction collapses pack sizes to formula-level rows. Keep in review until source provenance is linked.
sams-field-sam-s-field-adult-large-chicken-dog-dry-gr-document,Sam's Field,Sam's Field Adult Large Chicken,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Sam's Field.οκ.docx,1,"Attach official Sam's Field URL, backfill kcal/ME plus sodium/magnesium if available, then preview in Food V2 before commit.",Document extraction collapses pack sizes to formula-level rows. Keep in review until source provenance is linked.
sams-field-sam-s-field-adult-mini-chicken-dog-dry-gr-document,Sam's Field,Sam's Field Adult Mini Chicken,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Sam's Field.οκ.docx,1,"Attach official Sam's Field URL, backfill kcal/ME plus sodium/magnesium if available, then preview in Food V2 before commit.",Document extraction collapses pack sizes to formula-level rows. Keep in review until source provenance is linked.
sams-field-sam-s-field-adult-salmon-potato-dog-dry-gr-document,Sam's Field,Sam's Field Adult Salmon & Potato,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Sam's Field.οκ.docx,1,"Attach official Sam's Field URL, backfill kcal/ME plus sodium/magnesium if available, then preview in Food V2 before commit.",Document extraction collapses pack sizes to formula-level rows. Keep in review until source provenance is linked.
sams-field-sam-s-field-grain-free-adult-chicken-dog-dry-gr-document,Sam's Field,Sam's Field Grain Free Adult Chicken,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Sam's Field.οκ.docx,0,"Attach official Sam's Field URL, backfill kcal/ME plus sodium/magnesium if available, then preview in Food V2 before commit.",Document extraction collapses pack sizes to formula-level rows. Keep in review until source provenance is linked.
sams-field-sam-s-field-grain-free-chicken-dog-dry-gr-document,Sam's Field,Sam's Field Grain Free Chicken,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Sam's Field.οκ.docx,0,"Attach official Sam's Field URL, backfill kcal/ME plus sodium/magnesium if available, then preview in Food V2 before commit.",Document extraction collapses pack sizes to formula-level rows. Keep in review until source provenance is linked.
sams-field-sam-s-field-junior-large-chicken-dog-dry-gr-document,Sam's Field,Sam's Field Junior Large Chicken,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Sam's Field.οκ.docx,1,"Attach official Sam's Field URL, backfill kcal/ME plus sodium/magnesium if available, then preview in Food V2 before commit.",Document extraction collapses pack sizes to formula-level rows. Keep in review until source provenance is linked.
sams-field-sam-s-field-light-senior-lamb-rice-dog-dry-gr-document,Sam's Field,Sam's Field Light & Senior Lamb & Rice,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Sam's Field.οκ.docx,1,"Attach official Sam's Field URL, backfill kcal/ME plus sodium/magnesium if available, then preview in Food V2 before commit.",Document extraction collapses pack sizes to formula-level rows. Keep in review until source provenance is linked.
sams-field-sam-s-field-puppy-chicken-dog-dry-gr-document,Sam's Field,Sam's Field Puppy Chicken,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Sam's Field.οκ.docx,1,"Attach official Sam's Field URL, backfill kcal/ME plus sodium/magnesium if available, then preview in Food V2 before commit.",Document extraction collapses pack sizes to formula-level rows. Keep in review until source provenance is linked.
