formula_key,brand,formula_name,species,status,missing_fields,evidence_path,duplicate_blocks_skipped,recommended_action,notes
unica-classe-unica-class-adult-medium-regular-chicken-dog-dry-gr-document,Unica Classe,Unica Class Adult Medium Regular Chicken,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|moisture_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx,1,"Attach official Unica Classe URL, verify/backfill ingredient composition, kcal/ME, moisture, sodium and magnesium before Food V2 commit.",Some document blocks include analytical values but no usable composition text; keep all rows in hold until manual review.
unica-classe-unica-class-adult-all-breeds-longevity-salmon-dog-dry-gr-document,Unica Classe,Unica Class Adult All Breeds Longevity Salmon,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|moisture_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx,1,"Attach official Unica Classe URL, verify/backfill ingredient composition, kcal/ME, moisture, sodium and magnesium before Food V2 commit.",Some document blocks include analytical values but no usable composition text; keep all rows in hold until manual review.
unica-classe-unica-class-adult-large-equilibrium-lamb-dog-dry-gr-document,Unica Classe,Unica Class Adult Large Equilibrium Lamb,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|moisture_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx,0,"Attach official Unica Classe URL, verify/backfill ingredient composition, kcal/ME, moisture, sodium and magnesium before Food V2 commit.",Some document blocks include analytical values but no usable composition text; keep all rows in hold until manual review.
unica-classe-unica-class-adult-large-regular-chicken-dog-dry-gr-document,Unica Classe,Unica Class Adult Large Regular Chicken,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|moisture_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx,0,"Attach official Unica Classe URL, verify/backfill ingredient composition, kcal/ME, moisture, sodium and magnesium before Food V2 commit.",Some document blocks include analytical values but no usable composition text; keep all rows in hold until manual review.
unica-classe-unica-class-adult-large-sensitive-tuna-dog-dry-gr-document,Unica Classe,Unica Class Adult Large Sensitive Tuna,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|moisture_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx,0,"Attach official Unica Classe URL, verify/backfill ingredient composition, kcal/ME, moisture, sodium and magnesium before Food V2 commit.",Some document blocks include analytical values but no usable composition text; keep all rows in hold until manual review.
unica-classe-unica-class-adult-medium-equilibrium-lamb-dog-dry-gr-document,Unica Classe,Unica Class Adult Medium Equilibrium Lamb,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|moisture_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx,1,"Attach official Unica Classe URL, verify/backfill ingredient composition, kcal/ME, moisture, sodium and magnesium before Food V2 commit.",Some document blocks include analytical values but no usable composition text; keep all rows in hold until manual review.
unica-classe-unica-class-adult-medium-sensitive-tuna-dog-dry-gr-document,Unica Classe,Unica Class Adult Medium Sensitive Tuna,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|moisture_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx,0,"Attach official Unica Classe URL, verify/backfill ingredient composition, kcal/ME, moisture, sodium and magnesium before Food V2 commit.",Some document blocks include analytical values but no usable composition text; keep all rows in hold until manual review.
unica-classe-unica-class-adult-mini-regular-chicken-dog-dry-gr-document,Unica Classe,Unica Class Adult Mini Regular Chicken,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|moisture_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx,1,"Attach official Unica Classe URL, verify/backfill ingredient composition, kcal/ME, moisture, sodium and magnesium before Food V2 commit.",Some document blocks include analytical values but no usable composition text; keep all rows in hold until manual review.
unica-classe-unica-class-adult-mini-sensitive-tuna-dog-dry-gr-document,Unica Classe,Unica Class Adult Mini Sensitive Tuna,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|moisture_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx,0,"Attach official Unica Classe URL, verify/backfill ingredient composition, kcal/ME, moisture, sodium and magnesium before Food V2 commit.",Some document blocks include analytical values but no usable composition text; keep all rows in hold until manual review.
unica-classe-unica-class-adult-mini-tonic-salmon-dog-dry-gr-document,Unica Classe,Unica Class Adult Mini Tonic Salmon,dog,needs_review,ingredient_text|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|moisture_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx,0,"Attach official Unica Classe URL, verify/backfill ingredient composition, kcal/ME, moisture, sodium and magnesium before Food V2 commit.",Some document blocks include analytical values but no usable composition text; keep all rows in hold until manual review.
