formula_key,brand,formula_name,species,status,missing_fields,evidence_path,duplicate_blocks_skipped,recommended_action,notes
royal-canin-veterinary-sensitivity-control-dog-dry-gr-document,Royal Canin,Veterinary SENSITIVITY CONTROL,dog,needs_review,data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Περιγραφές Vet Eshop.docx,0,"Attach official veterinary diet URL or label photo, verify formula identity/nutrients, then preview in Food V2 before commit.",Formula-level row deduped from Greek vet eshop document; pack-size variants were not imported separately.
royal-canin-veterinary-gastro-intestinal-puppy-dog-dog-dry-gr-document,Royal Canin,Veterinary GASTRO INTESTINAL PUPPY DOG,dog,needs_review,data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Περιγραφές Vet Eshop.docx,0,"Attach official veterinary diet URL or label photo, verify formula identity/nutrients, then preview in Food V2 before commit.",Formula-level row deduped from Greek vet eshop document; pack-size variants were not imported separately.
royal-canin-veterinary-gastro-intestinal-dog-dog-dry-gr-document,Royal Canin,Veterinary GASTRO INTESTINAL DOG,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|fiber_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Περιγραφές Vet Eshop.docx,2,"Attach official veterinary diet URL or label photo, verify formula identity/nutrients, then preview in Food V2 before commit.",Formula-level row deduped from Greek vet eshop document; pack-size variants were not imported separately.
royal-canin-veterinary-satiety-small-dog-dog-dry-gr-document,Royal Canin,Veterinary SATIETY SMALL DOG,dog,needs_review,data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Περιγραφές Vet Eshop.docx,0,"Attach official veterinary diet URL or label photo, verify formula identity/nutrients, then preview in Food V2 before commit.",Formula-level row deduped from Greek vet eshop document; pack-size variants were not imported separately.
royal-canin-veterinary-satiety-support-dog-dog-dry-gr-document,Royal Canin,Veterinary SATIETY SUPPORT DOG,dog,needs_review,data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Περιγραφές Vet Eshop.docx,3,"Attach official veterinary diet URL or label photo, verify formula identity/nutrients, then preview in Food V2 before commit.",Formula-level row deduped from Greek vet eshop document; pack-size variants were not imported separately.
royal-canin-veterinary-renal-canine-dog-dry-gr-document,Royal Canin,Veterinary RENAL CANINE,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|protein_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Περιγραφές Vet Eshop.docx,1,"Attach official veterinary diet URL or label photo, verify formula identity/nutrients, then preview in Food V2 before commit.",Formula-level row deduped from Greek vet eshop document; pack-size variants were not imported separately.
royal-canin-veterinary-hepatic-canine-dog-dry-gr-document,Royal Canin,Veterinary HEPATIC CANINE,dog,needs_review,data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Περιγραφές Vet Eshop.docx,1,"Attach official veterinary diet URL or label photo, verify formula identity/nutrients, then preview in Food V2 before commit.",Formula-level row deduped from Greek vet eshop document; pack-size variants were not imported separately.
royal-canin-veterinary-vd-dog-cardiac-dog-dry-gr-document,Royal Canin,Veterinary VD DOG CARDIAC,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Περιγραφές Vet Eshop.docx,1,"Attach official veterinary diet URL or label photo, verify formula identity/nutrients, then preview in Food V2 before commit.",Formula-level row deduped from Greek vet eshop document; pack-size variants were not imported separately.
pro-vet-pro-vet-weight-control-dog-dry-gr-document,Pro-Vet,Pro-Vet WEIGHT CONTROL,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|fat_percent|fiber_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Περιγραφές Vet Eshop.docx,1,"Attach official veterinary diet URL or label photo, verify formula identity/nutrients, then preview in Food V2 before commit.",Formula-level row deduped from Greek vet eshop document; pack-size variants were not imported separately.
royal-canin-veterinary-sensitivity-control-dog-dog-dry-gr-document,Royal Canin,Veterinary SENSITIVITY CONTROL DOG,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Περιγραφές Vet Eshop.docx,0,"Attach official veterinary diet URL or label photo, verify formula identity/nutrients, then preview in Food V2 before commit.",Formula-level row deduped from Greek vet eshop document; pack-size variants were not imported separately.
