source_group,listing_url,product_url,product_title,brand_guess,species,format,source_tier,source_type,market,status,notes
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/155444,,,dog,dry,retailer,category_product_page,EU,failed,Zooplus product JSON missing
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/briantos/grain_free/997870?activeVariant=997870.0,Briantos Adult Grain-Free Duck & Potato,Briantos,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=false
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/gastrointestinal/168526?activeVariant=168526.10,Hill's Prescription Diet Canine i/d Digestive Care - Chicken,Hill's Prescription Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=45.2
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/weight_management/556480?activeVariant=556480.2,Hill's Prescription Diet Canine Metabolic+Mobility Weight+Joint Care Chicken,Hill's Prescription Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=31.7
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/gastrointestinal/838815,Hill's Prescription Diet Gastrointestinal Biome with Chicken,Hill's Prescription Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=43
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food,https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/206814/497208?activeVariant=497208.12,"Wolf of Wilderness Adult ""Blue River"" Salmon - Grain-Free",Wolf of Wilderness,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=37
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/weight_management/462898,Hill's Prescription Diet Canine Metabolic Weight Management - Chicken,Hill's Prescription Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=34.8
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_size/medium/128332,Royal Canin Medium Adult,Royal Canin Size,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=43.2
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_size/mini/128322?activeVariant=128322.14,Royal Canin Mini Adult,Royal Canin Size,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=38.5
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/allergies_intolerances/466931?activeVariant=466931.3,Hill's Prescription Diet z/d Food Sensitivities,Hill's Prescription Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=45.5
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_size/maxi/128339?activeVariant=128339.21,Royal Canin Maxi Adult,Royal Canin Size,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=37.8
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/313823?activeVariant=313823.4,Royal Canin Veterinary Canine Hypoallergenic,Royal Canin Veterinary Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=42.7
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/567604,Royal Canin Veterinary Canine Gastrointestinal Low Fat,Royal Canin Veterinary Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=53.1
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food,https://www.zooplus.com/shop/dogs/dry_dog_food/markus_muehle/naturnah/128238?activeVariant=128238.4,Markus-Mühle Naturnahfutter,Markus Mühle,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=44.2
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/570263?activeVariant=570263.5,Royal Canin Veterinary Canine Anallergenic,Royal Canin Veterinary Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=47.3
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/323025,Royal Canin Veterinary Canine - Satiety Weight Management,Royal Canin Veterinary Diet,dog,dry,retailer,category_product_page,EU,hold,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=false
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/313819?activeVariant=313819.9,Royal Canin Veterinary Dog - Gastrointestinal,Royal Canin Veterinary Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=36.7
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/trial_pack/2014430?activeVariant=2014430.17,2 x 1kg Wolf of Wilderness Dry Dog Food - Try Now!,Wolf of Wilderness,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=32.8
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/gastrointestinal/599535,Hill's Prescription Diet Canine i/d Low Fat Digestive Care - Chicken,Hill's Prescription Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=46.7
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/briantos/saver_packs/999078,Briantos Grain-Free Economy Pack 2 x 12kg,Briantos,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=37.8
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/206814/497279?activeVariant=497279.15,"Wolf of Wilderness Adult ""Wild Hills"" Duck - Grain-Free",Wolf of Wilderness,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=39
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/purina_vet_diet/583018?activeVariant=583018.5,Purina Pro Plan Veterinary Diets Canine HA Hypoallergenic,Purina Pro Plan Veterinary Diets,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=50.5
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/eukanuba_adult_large/2384912?activeVariant=2384912.2,Eukanuba Premium Nutrition Adult Large & Giant Breed Chicken,Eukanuba,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=44.4
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/urinary/344103?activeVariant=344103.3,Hill's Prescription Diet Canine c/d Multicare Urinary Care - Chicken,Hill's Prescription Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=48.5
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/diabetes/408219?activeVariant=408219.6,Hill's Prescription Diet w/d Diabetes Care - Chicken,Hill's Prescription Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=40.4
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/wow_elements_dry_dog_food/761990?activeVariant=761990.3,"Wolf of Wilderness Adult Sensitive ""Rocky Canyons"" - Beef",Wolf of Wilderness,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=35.8
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_science_plan/hills_adult_large/128116?activeVariant=128116.15,Hill's Science Plan Adult 1-5 Large with Chicken,Hill's Science Plan,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=48.6
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/567854?activeVariant=567854.3,Royal Canin Veterinary Canine Hypoallergenic Small Dog,Royal Canin Veterinary Diet,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=40.7
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/adult/2393421,Eukanuba Premium Nutrition Adult Medium Breed Chicken,Eukanuba,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=39.1
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/burns/burns_adult/2277054,Burns Adult & Senior Sensitive Duck & Potato,Burns,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=54
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/labrador_retriever/128303?activeVariant=128303.10,Royal Canin Labrador Retriever Adult,Royal Canin Breed,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=36.9
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_science_plan/senior/128161,Hill’s Science Plan Mature Adult 6+ Large with Chicken,Hill's Science Plan,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=50.1
zooplus_dog_dry_category,https://www.zooplus.com/shop/dogs/dry_dog_food?p=2,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/breed_nutrition/128077,Eukanuba German Shepherd Adult,Eukanuba,dog,dry,retailer,category_product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=47.7
