source_group,listing_url,product_url,product_title,brand_guess,species,format,source_tier,source_type,market,status,notes
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/acana-classic-red-2kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/acana-classic-red-meat-9-7kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/acana-prairie-poultry-2kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/acana-prairie-poultry-9-7kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/acana-wild-coast-2kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/acana-wild-coast-9-7kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/ambrosia-grain-free-adult-large-turkey-and-chicken-12kg-2kg-doro,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/ambrosia-grain-free-adult-turkey-and-duck-12kg-2kg-doro,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/ambrosia-grain-free-adult-turkey-and-duck-2kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/hill-s-science-plan-mature-adult-7-small-and-mini-gia-skuloys-me-kotopoylo-1-5kg-im-lixis-6-2026,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/kliniki-diaita-skuloy-trovet-intestinal-dog-3kg-im-lixis-05-26,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
