source_group,listing_url,product_url,product_title,species,brand_family,source_tier,source_type,market,status,product_scope,notes
cat chow,https://www.purina.gr/cat/cat-food?brand%5B9836%5D=9836&nppe_cbd_preferred=,https://www.purina.gr/cat/cat-food/product-chow-dry-adult-chicken-and-turkey,CAT CHOW® ADULT Kοτόπουλο & Γαλοπούλα,cat,Purina Cat Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
cat chow,https://www.purina.gr/cat/cat-food?brand%5B9836%5D=9836&nppe_cbd_preferred=,https://www.purina.gr/cat/cat-food/product-chow-feline-3in1-dry-adult-chicken,CAT CHOW® FELINE 3IN1,cat,Purina Cat Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
cat chow,https://www.purina.gr/cat/cat-food?brand%5B9836%5D=9836&nppe_cbd_preferred=,https://www.purina.gr/cat/cat-food/product-chow-hairball-control-dry-adult-chicken,CAT CHOW® HAIRBALL CONTROL,cat,Purina Cat Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
cat chow,https://www.purina.gr/cat/cat-food?brand%5B9836%5D=9836&nppe_cbd_preferred=,https://www.purina.gr/cat/cat-food/product-chow-dry-kitten-chicken,CAT CHOW® KITTEN Κοτόπουλο,cat,Purina Cat Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
cat chow,https://www.purina.gr/cat/cat-food?brand%5B9836%5D=9836&nppe_cbd_preferred=,https://www.purina.gr/cat/cat-food/product-chow-sterilised-dry-adult-turkey,CAT CHOW® STERILISED Γαλοπούλα,cat,Purina Cat Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
cat chow,https://www.purina.gr/cat/cat-food?brand%5B9836%5D=9836&nppe_cbd_preferred=,https://www.purina.gr/cat/cat-food/product-chow-sterilised-dry-adult-chicken,CAT CHOW® STERILISED Κοτόπουλο,cat,Purina Cat Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
cat chow,https://www.purina.gr/cat/cat-food?brand%5B9836%5D=9836&nppe_cbd_preferred=,https://www.purina.gr/cat/cat-food/product-chow-urinary-tract-health-dry-adult-chicken,CAT CHOW® URINARY TRACT HEALTH,cat,Purina Cat Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-adult-renal-plus-chicken,PRO PLAN® Adult Renal plus Cat Κοτόπουλο,cat,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221,https://www.purina.gr/cat/cat-food/product-proplan-light-dry-vital-turkey,PRO PLAN® LIGHT Cat Γαλοπούλα,cat,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221,https://www.purina.gr/cat/cat-food/product-proplan-supplements-skin-and-coat-plus,PRO PLAN® Skin and Coat+ Συμπλήρωμα Διατροφής για Γάτες σε μορφή Λαδιού,cat,Purina Pro Plan,official,official_product_page,GR,defer_not_complete_food,defer_supplement_or_treat,"Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
